ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
900020,1043,H Mossy MOLDEN,x5,"""Twelve mossy cells from 12 rats were reconstructed. Their somata were large and their proximal dendrites were thick (Figs 1, 2A and 3A). Somata close to the granule cell layer (Fig. 4) tended to be fusiform, whereas those farther from the granule cell layer tended to be multipolar. Thorny excrescences were on proximal dendrites (Fig. 1) and sometimes on the soma. Dendrites extended through the hilus and appeared to avoid entering the CA3 field or gran- ule cell layer. However, three mossy cells each had one dendritic branch that projected through the granule cell layer and into the molecular layer (Fig. 2A) <% 1043 %> [9 neurons did not have projecting dendrites] <% 1002 %>.""","p10, right bot",x4 = 3*x5,Mossy : Mossy Molden = 3:1,"Buckmaster, 2012",,,,22612804,0,rats,Sprague-Dawley,,
900022,1008,SMo MOPP,x19,"""Fourteen neurons had a local axonal arborization that was confined mainly to the OML [outer molecular layer] <% 1008 %>, 3 neurons projected to the stratum lacunosum moleculare of the CA1 region, and 17 neurons projected to the subiculum via the hippocampal fissure <% 1007 %>.""","p5388, left mid",x19/x20 = 14/17,SMo MOPP : NGF = 14:17,"Ceranik et al., 1997",,,,9204922,0,rats,Wistar,,
900024,1007,SMo DG Neurogliaform,x20,"""Fourteen neurons had a local axonal arborization that was confined mainly to the OML [outer molecular layer] <% 1008 %>, 3 neurons projected to the stratum lacunosum moleculare of the CA1 region, and 17 neurons projected to the subiculum via the hippocampal fissure <% 1007 %>.""","p5388, left mid",x19/x20 = 14/17,SMo MOPP : NGF = 14:17,"Ceranik et al., 1997",,,,9204922,0,rats,Wistar,,
900026,1035,SG DG Basket,x8,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus <% 1035 %> <% 1036 %>) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",(x8+x9)/x7 = 6/1,SG basket (incl. cck+) : axoaxonic = 6:1,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900028,1036,SG DG Basket CCK+,x9,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus <% 1035 %> <% 1036 %>) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",(x8+x9)/x7 = 6/1,SG basket (incl. cck+) : axoaxonic = 6:1,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900030,1010,SG Axo-Axonic,x7,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus <% 1035 %> <% 1036 %>) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",(x8+x9)/x7 = 6/1,SG basket (incl. cck+) : axoaxonic = 6:1,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900032,1010,SG Axo-Axonic,x7,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900034,1027,H AIPRIM,x6,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900036,1009,H HICAP,x11,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900038,1009,SG HICAP,x12,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900040,1013,H HIPP,x13,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900042,1013,SG HIPP,x14,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900044,1026,H HIPROM,x15,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900046,1005,SG MOLAX,x17,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900048,1006,SG Outer Molecular Layer,x21,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900050,1004,SG Total Molecular Layer,x22,"""At the light microscopic level, these interneurons could be easily classified into three groups based on the spatial distributions of their axonal arborizations, i.e., basket cells (n = 18, 12 located in the CA1 and 6 in the dentate gyrus) terminating in the cell body region, chandelier cells (n = 4, 3 located in the CAI and 1 in the dentate gyrus <% 1010 %>) selecting the axonal initial segment, and axodendritic cells (n = 5, all located in the dentate gyrus <% 1027 %> <% 1009 %> <% 1013 %> <% 1026 %> <% 1005 %> <% 1006 %> <% 1004 %>) innervating the granule cell's den- dritic tree in the molecular layer.""","p103, right bot",x7/(x6+x11+x12+x13+x14+x15+x17+x21+x22) = 1/5,axoaxonic : all dendritic-targeting interneurons in SG and H = 1:5,"Han et al., 1994",,,,7516510,0,rats,Sprague-Dawley,,
900052,1035,SG DG Basket,x8,"""All [dentate gyrus] basket cells <% 1035 %> <% 1036 %> (n = 6) were located 10-20 [micro]m from the granule cell layer on the hilar side. ... Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma.""","p1521, left mid; p1523, right top; p1526, left bot",(x8+x9)/(x13+x15) = 6/7,SG basket (incl. cck) : hilar proj to SMo = 6:7,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900054,1036,SG DG Basket CCK+,x9,"""All [dentate gyrus] basket cells <% 1035 %> <% 1036 %> (n = 6) were located 10-20 [micro]m from the granule cell layer on the hilar side. ... Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma.""","p1521, left mid; p1523, right top; p1526, left bot",(x8+x9)/(x13+x15) = 6/7,SG basket (incl. cck) : hilar proj to SMo = 6:7,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900056,1013,H HIPP,x13,"""All [dentate gyrus] basket cells <% 1035 %> <% 1036 %> (n = 6) were located 10-20 [micro]m from the granule cell layer on the hilar side. ... Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma.""","p1521, left mid; p1523, right top; p1526, left bot",(x8+x9)/(x13+x15) = 6/7,SG basket (incl. cck) : hilar proj to SMo = 6:7,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900058,1026,H HIPROM,x15,"""All [dentate gyrus] basket cells <% 1035 %> <% 1036 %> (n = 6) were located 10-20 [micro]m from the granule cell layer on the hilar side. ... Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma.""","p1521, left mid; p1523, right top; p1526, left bot",(x8+x9)/(x13+x15) = 6/7,SG basket (incl. cck) : hilar proj to SMo = 6:7,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900060,1013,H HIPP,x13,"""Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma. ... Aspiny interneurons projecting to the inner molecular layer <% 1026 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A). ... Aspiny interneurons projecting to the inner molecular layer <% 1027 %> <% 1009 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A).""","p1523, right top; p1526, left bot; p1526, left top",(x13+x15)/(x6+x11) = 7/4 = 1.75,hilar proj to SMo : hilar proj to SMi = 7:4,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900062,1026,H HIPROM,x15,"""Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma. ... Aspiny interneurons projecting to the inner molecular layer <% 1026 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A). ... Aspiny interneurons projecting to the inner molecular layer <% 1027 %> <% 1009 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A).""","p1523, right top; p1526, left bot; p1526, left top",(x13+x15)/(x6+x11) = 7/4 = 1.75,hilar proj to SMo : hilar proj to SMi = 7:4,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900064,1027,H AIPRIM,x6,"""Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma. ... Aspiny interneurons projecting to the inner molecular layer <% 1026 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A). ... Aspiny interneurons projecting to the inner molecular layer <% 1027 %> <% 1009 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A).""","p1523, right top; p1526, left bot; p1526, left top",(x13+x15)/(x6+x11) = 7/4 = 1.75,hilar proj to SMo : hilar proj to SMi = 7:4,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900066,1009,H HICAP,x11,"""Spiny hilar interneurons with axonal projections to the outer molecular layer In our sample, we identified three spiny interneurons that were distinguishable from mossy cells <% 1013 %> <% 1026 %>. ... A representative example of an aspiny hilar interneuron with an axonal projection to the outer molecular layer is given in Fig. 8B <% 1026 %>. These neurons (n = 4) usually had somata located within the deep hilus, 20-50 [micro]m beneath the granule cell layer, and were fusiform in shape, with two- to four- thick smooth primary dendrites emerging from the two poles of the soma. ... Aspiny interneurons projecting to the inner molecular layer <% 1026 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A). ... Aspiny interneurons projecting to the inner molecular layer <% 1027 %> <% 1009 %> (n = 4) were found at different locations within the hilus but usually were situated 10-20 [micro]m beneath the granule cell layer (Fig. 7A).""","p1523, right top; p1526, left bot; p1526, left top",(x13+x15)/(x6+x11) = 7/4 = 1.75,hilar proj to SMo : hilar proj to SMi = 7:4,"Lubke et al., 1998",,,,9497429,0,rats,Wistar,,
900068,1035,SG DG Basket,x8,"""An axon arbor consisting of a delicate net-like arborization in the [dentate gyrus] GCL [granule cell layer] (Amaral, 1978; Ribak and Seress, 1983; Han et al., 1993) was recovered in only four cells or ~10% of the 41 cells with defined axonal domains (Fig. 1). ... Basket cells and axo-axonic cells are difficult to discern (Han et al., 1993), and we cannot be certain that all of these cells were basket cells rather than being a mix of basket cells and axo-axonic cells, and therefore these cells will be designated GCL cells. Axo-axonic cells, however, often have extensive axonal branching in the hilus as well as in the GCL (Han et al., 1993), favoring the interpretation that these GCL cells, which did not have extensive hilar axons, were indeed basket cells <%1035 %> <% 1036 %>. ... Eight cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3).""","p3992, right mid; p3992, right bot",(x8+x9)/(x6+x11+x12) = 1/2,SG basket (incl. cck) : hilar/granular proj to SMi = 1:2 (4:8),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900070,1036,SG DG Basket CCK+,x9,"""An axon arbor consisting of a delicate net-like arborization in the [dentate gyrus] GCL [granule cell layer] (Amaral, 1978; Ribak and Seress, 1983; Han et al., 1993) was recovered in only four cells or ~10% of the 41 cells with defined axonal domains (Fig. 1). ... Basket cells and axo-axonic cells are difficult to discern (Han et al., 1993), and we cannot be certain that all of these cells were basket cells rather than being a mix of basket cells and axo-axonic cells, and therefore these cells will be designated GCL cells. Axo-axonic cells, however, often have extensive axonal branching in the hilus as well as in the GCL (Han et al., 1993), favoring the interpretation that these GCL cells, which did not have extensive hilar axons, were indeed basket cells <%1035 %> <% 1036 %>. ... Eight cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3).""","p3992, right mid; p3992, right bot",(x8+x9)/(x6+x11+x12) = 1/2,SG basket (incl. cck) : hilar/granular proj to SMi = 1:2 (4:8),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900072,1027,H AIPRIM,x6,"""An axon arbor consisting of a delicate net-like arborization in the [dentate gyrus] GCL [granule cell layer] (Amaral, 1978; Ribak and Seress, 1983; Han et al., 1993) was recovered in only four cells or ~10% of the 41 cells with defined axonal domains (Fig. 1). ... Basket cells and axo-axonic cells are difficult to discern (Han et al., 1993), and we cannot be certain that all of these cells were basket cells rather than being a mix of basket cells and axo-axonic cells, and therefore these cells will be designated GCL cells. Axo-axonic cells, however, often have extensive axonal branching in the hilus as well as in the GCL (Han et al., 1993), favoring the interpretation that these GCL cells, which did not have extensive hilar axons, were indeed basket cells <%1035 %> <% 1036 %>. ... Eight cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3).""","p3992, right mid; p3992, right bot",(x8+x9)/(x6+x11+x12) = 1/2,SG basket (incl. cck) : hilar/granular proj to SMi = 1:2 (4:8),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900074,1009,H HICAP,x11,"""An axon arbor consisting of a delicate net-like arborization in the [dentate gyrus] GCL [granule cell layer] (Amaral, 1978; Ribak and Seress, 1983; Han et al., 1993) was recovered in only four cells or ~10% of the 41 cells with defined axonal domains (Fig. 1). ... Basket cells and axo-axonic cells are difficult to discern (Han et al., 1993), and we cannot be certain that all of these cells were basket cells rather than being a mix of basket cells and axo-axonic cells, and therefore these cells will be designated GCL cells. Axo-axonic cells, however, often have extensive axonal branching in the hilus as well as in the GCL (Han et al., 1993), favoring the interpretation that these GCL cells, which did not have extensive hilar axons, were indeed basket cells <%1035 %> <% 1036 %>. ... Eight cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3).""","p3992, right mid; p3992, right bot",(x8+x9)/(x6+x11+x12) = 1/2,SG basket (incl. cck) : hilar/granular proj to SMi = 1:2 (4:8),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
