id,position,position_HC_standard,Ranks,v2.0,status,full_name,intermediate_name,short_name,CARLsim_name,short_name_gaa_201411131347,Diff,compact_name,abbreviation,supertype,type_subtype,explanatory_notes,interneuron_specific_flag,pre_subregion_modifier,subregion,post_subregion_modifier,include_subregion,excit_inhib,axon_dendrite_pattern,format,p,soma_pattern,projection_pattern,EC_layer,pre-modifiers,core,post-modifiers,pre-modifiers_plus_core_plus_post-modifiers,pre-modifiers_plus_core_plus_post-modifiers_alternate,short_name_alternate
1104,1014,1026,5,1,active,DG (i)2101 Interneuron Specific COLTAR*,DG (i)2101 (SS00) Interneuron Specific COLTAR,Interneuron Specific COLTAR*,DG Interneuron Specific COLTAR,IS COLTAR,1,Interneuron Specific COLTAR,IS COLTAR,S091201:Interneuron Specific:IS:DG,type,"This is a new name derived from the interneuron specificity and is in the vein of HICAP, MOPP, and HIPP that stands for ""COLlateral-TARgeting.""",1,,DG,,0,i,2101,0000,,SS00,,,Interneuron Specific,COLTAR,,Interneuron Specific COLTAR,COLTAR Interneuron Specific,COLTAR Interneuron Specific (i)
1024,1015,1011,3,1,active,DG (i)3300 COM-MOPP*,DG (i)3300 (SS00) COM-MOPP,COM-MOPP*,DG COM-MOPP,COM-MOPP,1,COM-MOPP,COM-MOPP,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,"This is a new name derived from the cited descriptor in the vein of HICAP, MOPP, and HIPP that stands for ""COMmissural-MOlecular layer Perforant Path-associated.""",0,,DG,,0,i,3300,0000,,SS00,,,,COM-MOPP,,COM-MOPP,COM-MOPP,COM-MOPP (i)
1009,1016,1017,3,,active,DG (i)2322 HICAP,DG (i)2322 (00SS) HICAP,HICAP,DG HICAP,HICAP,,HICAP,HICAP,S131101:Collateral-related:SMi-targeting:DG,type,"This name best captures the essence of this mixture of less common and less formal cited names that stands for ""HIlar Commissural-Associational Pathway-related.""",0,,DG,,0,i,2322,0000,,00SS,,,,HICAP,,HICAP,HICAP,HICAP (i)
1106,1017,1018,5,1,active,DG (i)2322 Interneuron Specific IMOT*,DG (i)2322 (0SSS) Interneuron Specific IMOT,Interneuron Specific IMOT*,DG Interneuron Specific IMOT,IS IMOT,1,Interneuron Specific IMOT,IS IMOT,S091201:Interneuron Specific:IS:DG,type,This is a new name derived from the interneuron specificity and the morphological patterning that matches IMOT (Inner MOlecular layer-Targeting) cells.,1,,DG,,0,i,2322,0000,,0SSS,,,Interneuron Specific,IMOT,,Interneuron Specific IMOT,IMOT Interneuron Specific,IMOT Interneuron Specific (i)
1094,1018,1034,5,1,active,DG (i)0003 Hilus-Associated Interneuron*,DG (i)0003 (000S) Hilus-Associated Interneuron,Hilus-Associated Interneuron*,DG Hilus-Associated Interneuron,Hilus-Associated Interneuron,1,Hilus-Associated Interneuron,HAI,S131101:Collateral-related:SMi-H-targeting:DG,type,This name best captures the essence of the authors' descriptions.,0,,DG,,0,i,0003,0000,,000S,,,,Hilus-Associated,Interneuron,Hilus-Associated Interneuron,Hilus-Associated Interneuron,Hilus-Associated Interneuron (i)
1105,1019,1024,5,1,active,DG (i)2203 Interneuron Specific HIMOLD*,DG (i)2203 (SS00) Interneuron Specific HIMOLD,Interneuron Specific HIMOLD*,DG Interneuron Specific HIMOLD,IS HIMOLD,1,Interneuron Specific HIMOLD,IS HIMOLD,S091201:Interneuron Specific:IS:DG,type,"This is a new name derived from the interneuron specificity and is in the vein of HICAP, MOPP, and HIPP that stands for ""HIlus and MOlecular Layer Dendrites.""",1,,DG,,0,i,2203,0000,,SS00,,,Interneuron Specific,HIMOLD,,Interneuron Specific HIMOLD,HIMOLD Interneuron Specific,HIMOLD Interneuron Specific (i)
1013,1020,1031,2,,active,DG (i)1002 HIPP,DG (i)1002 (00SS) HIPP,HIPP,DG HIPP,HIPP,,HIPP,HIPP,S121001:O-LM Family:HIPP-like:DG,type,"This name best captures the essence of this mixture of less common and less formal cited names that stands for ""HIlar Perforant Path-associated.""",0,,DG,,0,i,1002,0000,,00SS,,,,HIPP,,HIPP,HIPP,HIPP (i)
1014,1021,1030,5,1,active,DG (i)1003 Recurrent HIPP*,DG (i)1003 (000S) Recurrent HIPP,Recurrent HIPP*,DG Recurrent HIPP,Recurrent HIPP,1,Recurrent HIPP,Recurr HIPP,S121001:O-LM Family:HIPP-like:DG,type,"This name is derived from its patterning that parallels the patterning of CA1 Recurrent O-LM. HIPP stands for ""HIlar Perforant Path-associated.""",0,,DG,,0,i,1003,0000,,000S,,,Recurrent,HIPP,,Recurrent HIPP,HIPP Recurrent,HIPP Recurrent (i)
1046,1022,1029,5,1,active,DG (i)1102 HIPP-CAP*,DG (i)1102 (00SS) HIPP-CAP,HIPP-CAP*,DG HIPP-CAP,HIPP-CAP,1,HIPP-CAP,HIPP-CAP,S121001:O-LM Family:HIPP-like:DG,type,"This is a new name derived from the cited descriptor in the vein of HICAP, MOPP, and HIPP that stands for ""HIlar Perforant Path-associated--HIlar Commissural-Associational Pathway-related.""",0,,DG,,0,i,1102,0000,,00SS,,,,HIPP-CAP,,HIPP-CAP,HIPP-CAP,HIPP-CAP (i)
1049,1023,1028,5,1,active,DG (i)1103 Recurrent HIPP-CAP*,DG (i)1103 (000S) Recurrent HIPP-CAP,Recurrent HIPP-CAP*,DG Recurrent HIPP-CAP,Recurr HIPP-CAP,1,Recurrent HIPP-CAP,Recurr HIPP-CAP,S121001:O-LM Family:HIPP-like:DG,type,"This is a new name derived from the cited descriptor in the vein of HICAP, MOPP, and HIPP that stands for ""HIlar Perforant Path-associated--HIlar Commissural-Associational Pathway-related."" This HIPP-CAP cell has a recurrent collateral that re-invades H.",0,,DG,,0,i,1103,0000,,000S,,,Recurrent,HIPP-CAP,,Recurrent HIPP-CAP,HIPP-CAP Recurrent,HIPP-CAP Recurrent (i)
1103,1024,1025,5,1,active,DG (i)2201 Interneuron Specific HIPRO*,DG (i)2201 (00SS) Interneuron Specific HIPRO,Interneuron Specific HIPRO*,DG Interneuron Specific HIPRO,IS HIPRO,1,Interneuron Specific HIPRO,IS HIPRO,S091201:Interneuron Specific:IS:DG,type,"This is a new name derived from the interneuron specificity and is in the vein of HICAP, MOPP, and HIPP that stands for ""HIlus PROjecting.""",1,,DG,,0,i,2201,0000,,00SS,,,Interneuron Specific,HIPRO,,Interneuron Specific HIPRO,HIPRO Interneuron Specific,HIPRO Interneuron Specific (i)
1026,1025,1027,4,,active,DG (i)1333p-CA3_01111 HIPROM,DG (i)1333p (000S) HIPROM,HIPROM,DG HIPROM,HIPROM,,HIPROM,HIPROM,S121001:O-LM Family:HIPP-like:DG,type,"This is a new name derived from the cited descriptor in the vein of HICAP, MOPP, and HIPP that stands for ""Hilar Interneuron with PRojections to the Outer Molecular layer.""",0,,DG,,0,i,1333,0000,p,000S,CA3_01111,,,HIPROM,,HIPROM,HIPROM,HIPROM (i)
1045,1026,1032,5,1,active,DG (i)0333 Ivy*,DG (i)0333 (00SS) Ivy,DG Ivy*,DG Ivy,DG Ivy,1,DG Ivy,DG Ivy,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,This name is derived from the cited literature. DG distinguishes these cells from ivy cells in other subregions.,0,,DG,,1,i,0333,0000,,00SS,,,,Ivy,,Ivy,Ivy,DG Ivy (i)
1040,1027,1033,5,,active,DG (i)0331 MOCAP,DG (i)0331 (00S0) MOCAP,MOCAP,DG MOCAP,MOCAP,,MOCAP,MOCAP,S131101:Collateral-related:SMi-targeting:DG,type,"This is a new author-derived name in the vein of HICAP, MOPP, and HIPP that stands for ""cell with MOlecular Commissural-Associational Pathway-related axons and dendrites.""",0,,DG,,0,i,0331,0000,,00S0,,,,MOCAP,,MOCAP,MOCAP,MOCAP (i)
1005,1028,1009,4,,active,DG (i)3302 MOLAX,DG (i)3302 (00S0) MOLAX,MOLAX,DG MOLAX,MOLAX,,MOLAX,MOLAX,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,"This acronym, which stands for ""MOlecular Layer AXons,"" is cited in the literature to describe a variant of the DG TML type with axons only in SM.",0,,DG,,0,i,3302,0000,,00S0,,,,MOLAX,,MOLAX,MOLAX,MOLAX (i)
1078,1029,1013,5,1,active,DG (i)3200 Molecular Layer*,DG (i)3200 (S000) Molecular Layer,DG Molecular Layer*,DG Molecular Layer,DG Molecular Layer,1,DG Molecular Layer,DG ML,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,This name best captures the essence of the authors' descriptions.,0,,DG,,1,i,3200,0000,,S000,,,,Molecular Layer,,Molecular Layer,Molecular Layer,DG Molecular Layer (i)
1006,1030,1012,5,,active,DG (i)3222 Outer Molecular Layer,DG (i)3222 (00S0) Outer Molecular Layer,DG Outer Molecular Layer,DG Outer Molecular Layer,DG Outer Molecular Layer,,DG Outer Molecular Layer,DG OML,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,This is the simplest of the names in the cited literature.,0,,DG,,1,i,3222,0000,,00S0,,,Outer,Molecular Layer,,Outer Molecular Layer,Molecular Layer Outer,DG Molecular Layer Outer (i)
1004,1031,1008,4,,active,DG (i)3303 Total Molecular Layer,DG (i)3303 (00S) Total Molecular Layer,DG Total Molecular Layer,DG Total Molecular Layer,DG Total Molecular Layer,,DG Total Molecular Layer,DG TML,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,This is the simplest of the names in the cited literature.,0,,DG,,1,i,3303,0000,,00S,,,Total,Molecular Layer,,Total Molecular Layer,Molecular Layer Total,DG Molecular Layer Total (i)
1008,1032,1015,2,,active,DG (i)3000 MOPP,DG (i)3000 (SS00) MOPP,MOPP,DG MOPP,MOPP,,MOPP,MOPP,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,"This name best captures the essence of this mixture of cited types and stands for ""MOlecular layer Perforant Path-associated.""",0,,DG,,0,i,3000,0000,,SS00,,,,MOPP,,MOPP,MOPP,MOPP (i)
1007,1033,1014,4,,active,DG (i)3000p-Sub_100 Neurogliaform,DG (i)3000p (S000) Neurogliaform,DG Neurogliaform,DG Neurogliaform,DG Neurogliaform,,DG Neurogliaform,DG NGF,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,This is the only name in the cited literature. DG distinguishes these cells from neurogliaform cells in other subregions.,0,,DG,,1,i,3000,0000,p,S000,Sub_100,,,Neurogliaform,,Neurogliaform,Neurogliaform,DG Neurogliaform (i)
1075,1034,1010,5,1,active,DG (i)3300p-Sub_100 Wide-Arbor Neurogliaform*,DG (i)3300p (S000) Wide-Arbor Neurogliaform,DG Wide-Arbor Neurogliaform*,DG Wide-Arbor Neurogliaform,DG Wide-Arbor NGC,1,DG Wide-Arbor Neurogliaform,DG Wide NGC,S100601:Ivy/Neurogliaform Family:MOPP-like:DG,type,"The ""Wide-Arbor"" describes the axons and dendrites that fill the entire stratum moleculare. DG distinguishes these cells from neurogliaform cells in other subregions.",0,,DG,,1,i,3300,0000,p,S000,Sub_100,,Wide-Arbor,Neurogliaform,,Wide-Arbor Neurogliaform,Neurogliaform Wide-Arbor,DG Neurogliaform Wide-Arbor (i)
2000,2000,2000,1,,active,CA3 (e)23223p-CA2_0101-CA1_0101 Pyramidal,CA3 (e)23223p (000S0) Pyramidal,CA3 Pyramidal,CA3 Pyramidal,CA3 Pyramidal,,CA3 Pyramidal,CA3 PC,S040402:Glutamatergic PC:Pyramidal:CA3,type,This is a canonical principal cell of the main hippocampal circuit. CA3 distinguishes these cells from pyramidal cells in other subregions.,0,,CA3,,1,e,23223,00000,p,000S0,CA2_0101-CA1_0101,,,Pyramidal,,Pyramidal,Pyramidal,CA3 Pyramidal (e)
2121,2001,2002,5,1,active,CA3 (e)22223 Athorny Pyramidal*,CA3 (e)22223 (000S0) Athorny Pyramidal,CA3 Athorny Pyramidal*,CA3 Athorny Pyramidal,CA3 Athorny Pyramidal,1,CA3 Athorny Pyramidal,CA3 aPC,S040402:Glutamatergic PC:Pyramidal:CA3,type,Athorny distinguishes these cells from the canonical CA3 Pyramidal cells in that they lack thorny excrescences on their dendrites. CA3 distinguishes these cells from pyramidal cells in other subregions.,0,,CA3,,1,e,22223,00000,,000S0,,,Athorny,Pyramidal,,Athorny Pyramidal,Pyramidal Athorny,CA3 Pyramidal Athorny (e)
2004,2002,2005,2,,active,CA3c (e)03223p-DG_0101-CA2_0101-CA1_0101-Sub_100 Pyramidal,CA3c (e)03223p (000S0) Pyramidal,CA3c Pyramidal,CA3c Pyramidal,CA3c Pyramidal,,CA3c Pyramidal,CA3c PC,S040402:Glutamatergic PC:Pyramidal:CA3,type,"The partition modifier distinguishes these cells from the canonical CA3 Pyramidal cells, because of the lack of SLM in CA3c. CA3 distinguishes these cells from pyramidal cells in other subregions.",0,,CA3,c,1,e,03223,00000,p,000S0,DG_0101-CA2_0101-CA1_0101-Sub_100,,,Pyramidal,,Pyramidal,Pyramidal,CA3 Pyramidal (e)
2115,2003,2001,5,1,active,CA3c (e)23223p-DG_0001-CA2_0100-CA1_0100 Umbrella Pyramidal*,CA3c (e)23223p (000S0) Umbrella Pyramidal,CA3c Umbrella Pyramidal*,CA3c Umbrella Pyramidal,CA3c Umbrella Pyramidal,1,CA3c Umbrella Pyramidal,CA3c uPC,S040402:Glutamatergic PC:Pyramidal:CA3,type,The partition modifier distinguishes these cells from the canonical CA3 Pyramidal cells. Umbrella distinguishes the dendrites that reach outside of CA3c into CA3b SLM. CA3 distinguishes these cells from pyramidal cells in other subregions.,0,,CA3,c,1,e,23223,00000,p,000S0,DG_0001-CA2_0100-CA1_0100,,Umbrella,Pyramidal,,Umbrella Pyramidal,Pyramidal Umbrella,CA3 Pyramidal Umbrella (e)
2003,2004,2004,4,,active,CA3 (e)22010 Giant,CA3 (e)22010 (0S000) Giant,CA3 Giant,CA3 Giant,CA3 Giant,,CA3 Giant,CA3 Giant,S050502:Glutamatergic non-PC:Giant:CA3,type,"This is the only name in the cited literature. The article describing CA3 Giants came after the article describing CA1 radiatum Giants, and even though the authors mention the CA1  Radiatum Giants, they clearly only use the phrase ""Giant"" to describe the CA3 cells.",0,,CA3,,1,e,22010,00000,,0S000,,,,Giant,,Giant,Giant,CA3 Giant (e)
2001,2005,2003,4,,active,CA3 (e)22100 Granule,CA3 (e)22100 (0SS00) Granule,CA3 Granule,CA3 Granule,CA3 Granule,,CA3 Granule,CA3 GC,S010102:Glutamatergic GC:Granule:CA3,type,This is the only name in the cited literature. CA3 distinguishes these cells from the canonical DG granule cells.,0,,CA3,,1,e,22100,00000,,0SS00,,,,Granule,,Granule,Granule,CA3 Granule (e)
2028,2006,2010,2,,active,CA3 (i)22232 Axo-axonic,CA3 (i)22232 (000S0) Axo-axonic,CA3 Axo-axonic,CA3 Axo-axonic,CA3 Axo-axonic,,CA3 Axo-axonic,CA3 AA,S110902:Perisomatic-targeting:Axo-axonic:CA3,type,"The phrase ""chandelier cell"" has fallen out of use. CA3 distinguishes these cells from axo-axonic cells in other subregions.",0,,CA3,,1,i,22232,00000,,000S0,,,,Axo-axonic,,Axo-axonic,Axo-axonic,CA3 Axo-axonic (i)
2047,2007,2033,5,,active,CA3 (i)00012 Horizontal Axo-axonic,CA3 (i)00012 (000SS) Horizontal Axo-axonic,CA3 Horizontal Axo-axonic,CA3 Horizontal Axo-axonic,CA3 Horizontal Axo-axonic,,CA3 Horizontal AA,CA3 Horiz AA,S110902:Perisomatic-targeting:Axo-axonic:CA3,type,This straightforward name derives from the more common name in the cited literature and is the CA3 variant of the literature-based CA1 Horizontal Axo-Axonic.,0,,CA3,,1,i,00012,00000,,000SS,,,Horizontal,Axo-axonic,,Horizontal Axo-axonic,Axo-axonic Horizontal,CA3 Axo-axonic Horizontal (i)
2043,2008,2008,3,,active,CA3 (i)22232 Basket,CA3 (i)22232 (000S0) Basket,CA3 Basket,CA3 Basket,CA3 Basket,,CA3 Basket,CA3 BC,S110702:Perisomatic-targeting:Basket:CA3,type,This name omits any descriptive adjectives because not all of the subtypes are clearly known to be PV+. CA3 distinguishes these cells from basket cells in other subregions.,0,,CA3,,1,i,22232,00000,,000S0,,,,Basket,,Basket,Basket,CA3 Basket (i)
2044,2009,2009,3,,active,CA3 (i)22232 Basket CCK+,CA3 (i)22232 (000S0) Basket CCK+,CA3 Basket CCK+,CA3 Basket CCK+,CA3 Basket CCK+,,CA3 BC CCK+,CA3 BC CCK+,S110802:Perisomatic-targeting:Basket CCK+:CA3,type,"These cells are known to be CCK+. CA3 distinguishes these cells from basket CCK+ cells in other subregions. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive.""",0,,CA3,,1,i,22232,00000,,000S0,,,,Basket,CCK+,Basket CCK+,Basket CCK+,CA3 Basket CCK+ (i)
2051,2010,2032,5,1,active,CA3 (i)00012 Horizontal Basket CCK+*,CA3 (i)00012 (0000S) Horizontal Basket CCK+,CA3 Horizontal Basket CCK+*,CA3 Horizontal Basket CCK+,CA3 Horizontal BC CCK+,,CA3 Horiz BC CCK+,CA3 Horiz BC CCK+,S110802:Perisomatic-targeting:Basket CCK+:CA3,type,"This straightforward name derives from the more common name in the cited literature and is the basket cell variant of the literature-based CA1 Horizontal Axo-Axonic. CA3 clarifies the subregion of origin, since the name is otherwise generic. These cells are known to be CCK+. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive.""",0,,CA3,,1,i,00012,00000,,0000S,,,Horizontal,Basket,CCK+,Horizontal Basket CCK+,Basket Horizontal CCK+,CA3 Basket Horizontal CCK+ (i)
2125,2011,2023,5,1,active,CA3 (i)02332 Mossy Fiber-Associated Basket CCK+*,CA3 (i)02332 (0S0S0) Mossy Fiber-Associated Basket CCK+,CA3 Mossy Fiber-Associated Basket CCK+*,CA3 Mossy Fiber-Associated Basket CCK+,CA3 Mossy Fiber-Associated BC CB1+,,CA3 MFA BC CCK+,CA3 MFA BC CCK+,S110802:Perisomatic-targeting:Basket CCK+:CA3,type,"The phrase ""Mossy Fiber-Associated"" denotes the fact that the axons target SL and SP. These cells are known to be CCK+, CB1+, or regular spiking. CA3 distinguishes these cells from basket cells in other subregions.",0,,CA3,,1,i,02332,00000,,0S0S0,,,Mossy Fiber-Associated,Basket,CCK+,Mossy Fiber-Associated Basket CCK+,Basket Mossy Fiber-Associated CCK+,CA3 Basket Mossy Fiber-Associated CCK+ (i)
2045,2012,2016,2,,active,CA3 (i)03333 Bistratified,CA3 (i)03333 (000SS) Bistratified,CA3 Bistratified,CA3 Bistratified,CA3 Bistratified,,CA3 Bistratified,CA3 BiC,S131502:Collateral-related:RO-targeting:CA3,type,"This is the most well-known name in the cited literature, which is a variant of the more well known CA1 Bistratified. CA3 distinguishes these cells from bistratified cells in other subregions.",0,,CA3,,1,i,03333,00000,,000SS,,,,Bistratified,,Bistratified,Bistratified,CA3 Bistratified (i)
2046,2013,2017,3,,active,CA3 (i)03333 Ivy,CA3 (i)03333 (00S00) Ivy,CA3 Ivy,CA3 Ivy,CA3 Ivy,,CA3 Ivy,CA3 Ivy,S101302:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA3,type,This is the only name in the cited literature. CA3 distinguishes these cells from ivy cells in other subregions.,0,,CA3,,1,i,03333,00000,,00S00,,,,Ivy,,Ivy,Ivy,CA3 Ivy (i)
2052,2014,2030,3,1,active,CA3 (i)00330 Bilayer Ivy*,CA3 (i)00330 (000S0) Bilayer Ivy,CA3 Bilayer Ivy*,CA3 Bilayer Ivy,CA3 Bilayer Ivy,1,CA3 Bilayer Ivy,CA3 bi-Ivy,S101302:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA3,type,"This is the only name in the cited literature. The phrase ""bilayer"" describes the fact that the neurites only extend into SL and SP. CA3 distinguishes these cells from ivy cells in other subregions.",0,,CA3,,1,i,00330,00000,,000S0,,,Bilayer,Ivy,,Bilayer Ivy,Ivy Bilayer,CA3 Ivy Bilayer (i)
2005,2015,2006,4,,active,CA3 (i)33200 LMR-Targeting,CA3 (i)33200 (S0000) LMR-Targeting,CA3 LMR-Targeting,CA3 LMR-Targeting,CA3 LMR-Targeting,,CA3 LMR-Targeting,CA3 LMR-Target,S101302:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA3,type,"This name is simple, borrows from the cited names, and describes the axons that invade SLM and SR. CA3 distinguishes these cells from similar cells in other subregions.",0,,CA3,,1,i,33200,00000,,S0000,,,,LMR-Targeting,,LMR-Targeting,LMR-Targeting,CA3 LMR-Targeting (i)
