reference_id,Reference ID,Unique ID,Location in reference,FTQ ID,Material Used,Phase parameter,Phase parameter ID,Authors,Title,Journal,Year,PMID,pmid_isbn_page
"""2000103088710306""",2000103088710306,2000,"p1599, Fig 3B_dCA3b_REM",10306,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000115088710505""",2000115088710505,2000,"p1601, Fig5A_dCA3b",10505,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000115088710504""",2000115088710504,2000,"p1601, Fig5A_sCA3b",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000119088710504""",2000119088710504,2000,"p1601, Fig5A_sCA3b",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWS,119,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000111088710505""",2000111088710505,2000,"p1601, Fig5A_dCA3b",10505,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000113088710505""",2000113088710505,2000,"p1601, Fig5A_dCA3b",10505,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000119088710505""",2000119088710505,2000,"p1601, Fig5A_dCA3b",10505,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWS,119,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000111088710504""",2000111088710504,2000,"p1601, Fig5A_sCA3b",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000113088710504""",2000113088710504,2000,"p1601, Fig5A_sCA3b",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000109088710505""",2000109088710505,2000,"p1601, Fig5A_dCA3b",10505,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000115088710501""",2000115088710501,2000,"p1601, Fig5A_CA3a",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000109088710504""",2000109088710504,2000,"p1601, Fig5A_sCA3b",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000113088710501""",2000113088710501,2000,"p1601, Fig5A_CA3a",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000119088710501""",2000119088710501,2000,"p1601, Fig5A_CA3a",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWS,119,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000109088710501""",2000109088710501,2000,"p1601, Fig5A_CA3a",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000111088710501""",2000111088710501,2000,"p1601, Fig5A_CA3a",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000102088710302""",2000102088710302,2000,"p1599, Fig 3B_CA3a_RUN",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000103088710302""",2000103088710302,2000,"p1599, Fig 3B_CA3a_REM",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004102088710307""",2004102088710307,2004,"p1599, Fig 3B_dCA3c_RUN",10307,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004103088710307""",2004103088710307,2004,"p1599, Fig 3B_dCA3c_REM",10307,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004102088710302""",2004102088710302,2004,"p1599, Fig 3B_sCA3c_RUN",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004113088710506""",2004113088710506,2004,"p1601, Fig5A_dCA3c",10506,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004115088710506""",2004115088710506,2004,"p1601, Fig5A_dCA3c",10506,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004119088710506""",2004119088710506,2004,"p1601, Fig5A_dCA3c",10506,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWS,119,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004103088710302""",2004103088710302,2004,"p1599, Fig 3B_sCA3c_REM",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004115088710501""",2004115088710501,2004,"p1601, Fig5A_sCA3c",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004109088710506""",2004109088710506,2004,"p1601, Fig5A_dCA3c",10506,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004111088710506""",2004111088710506,2004,"p1601, Fig5A_dCA3c",10506,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004113088710501""",2004113088710501,2004,"p1601, Fig5A_sCA3c",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004119088710501""",2004119088710501,2004,"p1601, Fig5A_sCA3c",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWS,119,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004109088710501""",2004109088710501,2004,"p1601, Fig5A_sCA3c",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2004111088710501""",2004111088710501,2004,"p1601, Fig5A_sCA3c",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000111088710501""",3000111088710501,3000,"p1601, Fig5A_sCA2",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000113088710501""",3000113088710501,3000,"p1601, Fig5A_sCA2",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000115088710501""",3000115088710501,3000,"p1601, Fig5A_sCA2",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000116088710501""",3000116088710501,3000,"p1601, Fig5A_sCA2",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWR,116,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000102088710305""",3000102088710305,3000,"p1599, Fig 3B_dCA2_RUN",10305,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000103088710305""",3000103088710305,3000,"p1599, Fig 3B_dCA2_REM",10305,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000109088710501""",3000109088710501,3000,"p1601, Fig5A_sCA2",10501,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000115088710504""",3000115088710504,3000,"p1601, Fig5A_dCA2",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate run,115,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000102088710302""",3000102088710302,3000,"p1599, Fig 3B_sCA2_RUN",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000103088710302""",3000103088710302,3000,"p1599, Fig 3B_sCA2_REM",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000109088710504""",3000109088710504,3000,"p1601, Fig5A_dCA2",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",run/stop ratio,109,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000111088710504""",3000111088710504,3000,"p1601, Fig5A_dCA2",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate quiet,111,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000113088710504""",3000113088710504,3000,"p1601, Fig5A_dCA2",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate REM,113,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""3000116088710504""",3000116088710504,3000,"p1601, Fig5A_dCA2",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWR,116,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""4098116088710504""",4098116088710504,4098,"p1601, Fig5A_intermediate_sCA1",10504,"""FIGURE 5. Brain state-dependent firing rates of CA1, CA2, and CA3 principal cells. A. Firing rate distributions during RUN, SWS, REM, and QUIET states.""",firing rate SWR,116,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""4098103088710302""",4098103088710302,4098,"p1599, Fig 3B_proximal_sCA1_REM",10302,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
