RefID,,,Quote,Location,,,,,PMID/ISBN,UID,,Figure,HcoRefID
1000489,GC,CA3 Basket CCK+,"Figure 3. MFs [mossy fibers] are monosynaptically connected to RSBCs [regular-spiking basket cells] in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, and immunoreactivities of a representative RSBC that received monosynaptic MF inputs. Circle graph indicates the relative proportion of the RSBCs (shaded black in the circle graph) that were monosynaptically connected to presynaptic MFs from the 29 tested MF-RSBC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firingpattern: 20 mV, 200 ms).","p4243, Figure 3A","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000498,CA3 Ivy,CA3 Pyr,"However, in contrast to hippocampal neurogliaform cells (Price et al., 2005), [CA3] IvyCs [ivy cells] release GABA onto the proximal dendritic region of pyramidal cells as they innervate the inner portion of stratum radiatum and stratum oriens (Fuentealba et al., 2008). The most characteristic property of IvyCs was their dense axonal arborization in strata radiatum and oriens forming small and frequent boutons (all IvyCs showed the latter property) (supplemental Fig. 5A,C,D, available at www.jneurosci.org as supplemental material) (note that the present data comprise the first description of IvyCs out side of the CA1 region).","p4243, right lower","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000504,GC,CA3 Ivy,"Figure 4. MFs [mossy fibers] are monosynaptically connected to IvyCs [ivy cells] in CA3. A, Axonal arborization, firing pattern, and immunoreactivities of a representative IvyC. Circle graph indicates the relative proportion of the IvyCs (shaded black in the circle graph) that received monosynaptic inputs from MFs of the 30 MF-IvyC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum; rad, stratum radiatum) (calibration for the firing pattern: 20 mV, 200 ms).","p4244, Figure 4A","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000507,GC,CA3 Spiny lucidum cell,"Figure 5. MFs [mossy fibers] are monosynaptically connected to SLCs [spiny lucidum cells] in CA3. A, Dendritic (gray) and axonal (black arborizations firing pattern, the spiny dendritic surface, and immunoreactivities of a representative SLC that received monosynaptic MF inputs. Note that the SLC dendrites aligned with the stratum lucidum. Asterisk marks the severed main (presumably long distance-projecting) axon of the SLC on the surface of the slice. Circle graph indicates the relative proportion of the SLCs (shaded black in the circle graph) that received monosynaptic input from MFs of the 46 MF?SLC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firing pattern: 20 mV, 200 ms). B, Top (gray), Average action potential trace from a MF that was monosynaptically connected to a SLC. Middle traces (black), Representative single traces from three SLCs that received monosynaptic inputs from MFs. Bottom (black), Average MF-evoked responses from all SLCs that received monosynaptic MF inputs (see C) (the average of the average responses from all 15 connected pairs is shown). Dashed lines indicate the peak of presynaptic action potentials and asterisks mark monosynaptic events in SLCs. Note the relatively frequent spontaneous events on the single traces. C, Synaptic connections from MFs could be observed in SLCs, mostly only during long trains of presynaptic stimulation because of low initial transmission probabilities. C1, Postsynaptic trace in a SLC in response to stimulation of presynaptic MF with 50 action potentials at 50 Hz. C2, Probability of monosynaptic EPSCs in SLCs (n = 15) during long presynaptic MF trains (plot aligned with presynaptic action potentials on the top in C1; same frequency and number of action potentials as in sample trace). Asterisks mark significant differences (paired Wilcoxon test; p < 0.05 or smaller). C3, Superimposed presynaptic action potentials (top) and postsynaptic responses (bottom). Note the change in the width of the action potentials characteristic for MFs and the variability of the amplitude of the evoked events. D, An example SLC that projected from the CA3 to the DG. Note that the main axon exited the surface of the slice (asterisk).","p4245, Figure 5A,D","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000519,GC,CA3 Spiny lucidum cell,"Similar to FSBCs [fast-spiking basket cells], SLCs [spiny lucidum cells] also receive numerous MF [mossy fiber] inputs. The unique dendritic orientation of SLCs along the strata lucidum suggests that MFs may be a primary source of synaptic excitation in this septum-projecting GABAergic cell type (Wittner et al., 2006).","p4249, right upper","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000519,GC,CA3 Basket PV,"Similar to FSBCs [fast-spiking basket cells], SLCs [spiny lucidum cells] also receive numerous MF [mossy fiber] inputs. The unique dendritic orientation of SLCs along the strata lucidum suggests that MFs may be a primary source of synaptic excitation in this septum-projecting GABAergic cell type (Wittner et al., 2006).","p4249, right upper","Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,,,,
1000543,CA1 Ivy,CA1 Pyr,"The randomly sampled [CA1 ivy neuron] synapses (n = 11 for P2a; n = 13 for T134b; n = 10 for T140b) had small synaptic junctions targeting mainly dendritic shafts (81%, Figures 3E and 3H) of pyramidal cells, including basal dendrites in stratum oriens and oblique dendritic shafts in stratum radiatum.","p918, right lower","Fuentealba P, Begum R, Capogna M, Jinno S, MÂ‡rton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,,,,
1000544,CA1 Pyr,CA1 Pyr,"Figure 6. Synaptic Transmission and Reconstruction of a Reciprocally Connected Ivy and Pyramidal Cell Pair in the CA1 Region of the Hippocampus (A) Reconstruction (from a 450-[micro]m-thick slice) of the Ivy cell {CA1 CA1 Ivy} (soma/dendrites in orange, axon in yellow) and the pyramidal cell (soma/dendrites in light blue, axon in white). A large portion of the interneuron's axonal arbor is located in stratum pyramidale and stratum oriens, with very few collaterals extending into stratum radiatum and alveus. (B) Responses of the Ivy cell to injected current pulses, demonstrating the frequency adaptation seen in these interneurons. (C) Action potentials elicited by just suprathreshold current pulses in the pyramidal cell (mauve trace), the Ivy cell (orange trace), and a bistratified cell recorded in another experiment (gray trace) are superimposed. The Ivy cell action potential is similar in width to that of the pyramidal cell and is considerably broader than the action potential in the bistratified cell. (D) Composite averages of the excitatory postsynaptic potentials (EPSPs) elicited by the pyramidal cell in the Ivy cell, demonstrating the strong paired pulse and brief train depression typical of these inputs. (E) Composite averages of the inhibitory postsynaptic potentials (IPSPs) elicited by the Ivy cell in the pyramidal cell, demonstrating the typically slow time course and paired pulse depression of the IPSPs. (F) Photomicrographs of the Ivy cell at two different magnifications to illustrate a putative synaptic input from the pyramidal cell to the interneuron (red arrows). Two such putative contacts were identified. The lower bouton and contact site is directly above the dendrite and not visible on this micrograph. Vertical scale bars: (B), 20 mV; (C), 20 mV; (D) EPSPs, 2 mV; spike, 20 mV; (E) spike, 20 mV; IPSP, 1 mV. Horizontal scale bars: (A), 100 _m; (B), 40 ms; (C), 2 ms; (D), 20 ms; (E), 50 ms; (F) left, 5 _m; right, 2.5 _m.","p925, Fig. 6","Fuentealba P, Begum R, Capogna M, Jinno S, MÂ‡rton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,,,,
1000544,CA1 Ivy,CA1 Pyr,"Figure 6. Synaptic Transmission and Reconstruction of a Reciprocally Connected Ivy and Pyramidal Cell Pair in the CA1 Region of the Hippocampus (A) Reconstruction (from a 450-[micro]m-thick slice) of the Ivy cell {CA1 CA1 Ivy} (soma/dendrites in orange, axon in yellow) and the pyramidal cell (soma/dendrites in light blue, axon in white). A large portion of the interneuron's axonal arbor is located in stratum pyramidale and stratum oriens, with very few collaterals extending into stratum radiatum and alveus. (B) Responses of the Ivy cell to injected current pulses, demonstrating the frequency adaptation seen in these interneurons. (C) Action potentials elicited by just suprathreshold current pulses in the pyramidal cell (mauve trace), the Ivy cell (orange trace), and a bistratified cell recorded in another experiment (gray trace) are superimposed. The Ivy cell action potential is similar in width to that of the pyramidal cell and is considerably broader than the action potential in the bistratified cell. (D) Composite averages of the excitatory postsynaptic potentials (EPSPs) elicited by the pyramidal cell in the Ivy cell, demonstrating the strong paired pulse and brief train depression typical of these inputs. (E) Composite averages of the inhibitory postsynaptic potentials (IPSPs) elicited by the Ivy cell in the pyramidal cell, demonstrating the typically slow time course and paired pulse depression of the IPSPs. (F) Photomicrographs of the Ivy cell at two different magnifications to illustrate a putative synaptic input from the pyramidal cell to the interneuron (red arrows). Two such putative contacts were identified. The lower bouton and contact site is directly above the dendrite and not visible on this micrograph. Vertical scale bars: (B), 20 mV; (C), 20 mV; (D) EPSPs, 2 mV; spike, 20 mV; (E) spike, 20 mV; IPSP, 1 mV. Horizontal scale bars: (A), 100 _m; (B), 40 ms; (C), 2 ms; (D), 20 ms; (E), 50 ms; (F) left, 5 _m; right, 2.5 _m.","p925, Fig. 6","Fuentealba P, Begum R, Capogna M, Jinno S, MÂ‡rton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,,,,
1000547,CA1 O-LM,CA1 Pyr,"O-LM cells {CA1 CA1 O-LM} (no. 1, Fig. 1) In the CA1 area, O-LM [oriens--lacunosum-moleculare] cells {CA1 CA1 O-LM} are located in stratum oriens and have horizontally extending dendrites with hairy spines on distal segments. The axons of O-LM cells give few collaterals in stratum oriens but project mainly through the strata pyramidale and radiatum to branch heavily in stratum lacunosum-moleculare (Ramon y Cajal, 1893; McBain et al.,1994; Sik et al., 1995; Maccaferri & McBain, 1996), matching the glutamatergic input from the entorhinal cortex and thalamus. The axons give some collaterals also in the deep stratum radiatum but do not cross the fissure to the dentate gyrus (Fig. 2F). The main glutamatergic input to O-LM cells {CA1 CA1 O-LM} arises from local CA1 pyramidal cells {CA1 CA1 Pyramidal} (Blasco-Ibanez & Freund, 1995) and O-LM cells in turn project to the apical tuft of CA1 pyramidal cells and other interneurons (Katona et al., 1999a; Maccaferri et al., 2000).","p948, left middle",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000548,CA1 Pyr,CA1 O-LM,"O-LM cells {CA1 CA1 O-LM} (no. 1, Fig. 1) In the CA1 area, O-LM [oriens--lacunosum-moleculare] cells {CA1 CA1 O-LM} are located in stratum oriens and have horizontally extending dendrites with hairy spines on distal segments. The axons of O-LM cells give few collaterals in stratum oriens but project mainly through the strata pyramidale and radiatum to branch heavily in stratum lacunosum-moleculare (Ramon y Cajal, 1893; McBain et al.,1994; Sik et al., 1995; Maccaferri & McBain, 1996), matching the glutamatergic input from the entorhinal cortex and thalamus. The axons give some collaterals also in the deep stratum radiatum but do not cross the fissure to the dentate gyrus (Fig. 2F). The main glutamatergic input to O-LM cells {CA1 CA1 O-LM} arises from local CA1 pyramidal cells {CA1 CA1 Pyramidal} (Blasco-Ibanez & Freund, 1995) and O-LM cells in turn project to the apical tuft of CA1 pyramidal cells and other interneurons (Katona et al., 1999a; Maccaferri et al., 2000).","p948, left middle",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000549,CA1 Bistratified,CA1 Pyr,"Fig. 2. Distinct spike timing of a [CA1] bistratified {CA1 CA1 Bistratified} and an O-LM[oriens--lacunosum-moleculare] {CA1 CA1 O-LM} interneuron during gamma oscillations. (A) Reconstruction of the neurobiotin-labelled soma and dendrites (red; shown complete) and axons (yellow; shown from only five 70-[micro]m-thick sections). A pyramidal cell is superimposed in blue for orientation (different scale and animal). (B) Light micrograph of putative dendritic self-innervation sites (red arrow in A). Black and red arrowheads mark axon and dendrite, respectively. (C) Electron micrograph showing a terminal of the same bistratified cell (black) making a type 2 synapse (arrow) with an oblique pyramidal dendrite (dend). (D) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The bistratified cell fires preferentially at the ascending gamma phase. (E) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown with troughs at 0 [degrees], 360 [degrees] and 720 [degrees]). (F) Reconstructions of the neurobiotin-labelled somata and dendrites (red; shown complete) and axons (yellow; shown from only 12 70-[micro]m-thick sections). (G) The neurobiotin-labelled O-LM cell {CA1 CA1 O-LM} is immunopositive for PV[parvalbumin], somatostatin and mGluR1a. (H) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The O-LM cell firing is not coupled to any particular gamma phase. (I) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown). SLM, stratum lacunosum moleculare; SR, stratum radiatum; SP, stratum pyramidale; SO, stratum oriens. Scale bars: A, 100 [micro]m; B, 10 [micro]m; C, 0.2 [micro]m; D, horizontal 0.05 s; vertical from top to bottom 2 mV, 0.2 mV, 0.2 mV; F, 100 [micro]m; G,10 [micro]m; H, horizontal 0.1 s; vertical from top to bottom 0.2 mV, 0.1 mV, 0.4 mV. Reproduced, with permission, from Tukker et al. (2007).","p949, Fig. 2",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000550,CA1 Bistratified,CA1 Pyr,"The axonal arborization of bistratified cells {CA1 CA1 Bistratified} [CA1] (Buhl et al., 1994; Pawelzik et al., 1997) overlaps with the glutamatergic input from CA3 pyramidal cells in stratum radiatum and oriens (Fig. 2A). This two-layered axonal arrangement gives the cell its name. Bistratified cells make GABA[gamma aminobutyric-acid]ergic synapses with basal and oblique dendrites of CA1 pyramidal cells (Buhl et al., 1994; Maccaferri et al., 2000; Pawelzik et al., 2002; Klausberger et al., 2004). Their somata are mainly located in stratum pyramidale, but oriens-bistratified cells with somata and horizontally running dendrites in stratum oriens have also been reported (Maccaferri et al., 2000). The dendrites of bistratified cells in stratum pyramidale extend widely in the strata oriens and radiatum and form connexin36-containing gap junctions with other interneurons (Baude et al., 2007). In contrast to basket and axo-axonic cells, the dendrites of bistratified cells do not enter stratum lacunosum-moleculare but often bend back at the radiatum/lacunosum-moleculare border (Fig. 2A).","p949, left top",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 Back Proj,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 Bistratified,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 Ivy,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 NG 3000,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 O-LM,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 PPA 3200p,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 SCA 2311,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000573,CA1 Trilam 0113p,CA1 Pyr,"Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
1000579,CA1 Bistratified,CA1 Pyr,"Bistratified cells (no. 2, Fig. 1) The axonal arborization of bistratified cells (Buhl et al., 1994; Pawelzik et al., 1997) overlaps with the glutamatergic input from CA3 pyramidal cells in stratum radiatum and oriens (Fig. 2A). This two-layered axonal arrangement gives the cell its name. Bistratified cells make GABAergic synapses with basal and oblique dendrites of CA1 pyramidal cells (Buhl et al., 1994; Maccaferri et al., 2000; Pawelzik et al., 2002; Klausberger et al., 2004). Their somata are mainly located in stratum pyramidale, but oriens-bistratified cells with somata and horizontally running dendrites in stratum oriens have also been reported (Maccaferri et al., 2000). The dendrites of bistratified cells in stratum pyramidale extend widely in the strata oriens and radiatum and form connexin36-containing gap junctions with other interneurons (Baude et al., 2007). In contrast to basket and axo-axonic cells, the dendrites of bistratified cells do not enter stratum lacunosum-moleculare but often bend back at the radiatum/lacunosum-moleculare border (Fig. 2A).","p949, left upper",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,,,,
