Parent,Concept,Term,Resource Rank,Resource,Portal,Repository,Unique ID,Definition Link,Definition,protein_gene,human_rat,control
term_hippocampome_evidence,adenine nucleotide transporter,adenine nucleotide transporter,1,Neurolex,NIF,Neurolex,sao2077117136,http://neurolex.org/wiki/Category:Adenine_Nucleotide_Transporter,"Transports adenine nucleotides (AMP, ADP, and ATP) across membranes (Gene Ontology).",,,
term_hippocampome_evidence,adrenergic system,adrenergic system,1,Neurolex,NIF,Neurolex,nlx_anat_1005023,http://neurolex.org/wiki/Category:Adrenergic_system,"any molecule, protein, cell, tissue or organ that is related to epinephrine (also known as adrenaline).",,,
term_hippocampome_evidence,adult neurogenesis,adult neurogenesis,2,Scholarpedia,Scholarpedia,Article,Adult_neurogenesis,http://www.scholarpedia.org/article/Adult_neurogenesis,"Adult neurogenesis is the process of generating new neurons which integrate into existing circuits after fetal and early postnatal development has ceased. In most mammalian species, adult neurogenesis only appears to occur in the olfactory bulb and the hippocampus.",,,
term_hippocampome_evidence,afterpotential,afterpotential,2,Merriam-Webster Medical,Merriam-Webster,Medical,afterpotential,http://www.merriam-webster.com/medical/afterpotential,the sequence of electrical events that follows the action potential of nerve activity and that usually takes the form of a negative followed by a positive potential with both being of much smaller amplitude than the action potential,,,
term_hippocampome_type,AIPRIM,AIPRIM,1,Hippocampome.org,CNG,Hippocampome.org,AIPRIM,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SMi DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:H ].",,,
term_hippocampome_type_synonym,AIPRIM,DG aspiny interneuron with axonal projection to the inner molecular layer,1,Hippocampome.org,CNG,Hippocampome.org,AIPRIM,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SMi DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:H ].",,,
term_hippocampome_molecular_marker,alpha-actinin-2,alpha-actinin-2,1,Gene Ontology,Gene Ontology,AmiGO 2,"MGI, MGI:109192",http://amigo2.berkeleybop.org/amigo/gene_product/MGI:MGI:109192,actinin alpha 2; Symbol:Actn2; Type:protein; Taxon:Mus musculus; Synonyms:1110008F24Rik,,,
term_hippocampome_evidence,alpha1B receptor,alpha1B receptor,1,Neurolex,NIF,Neurolex,nifext_7143,http://neurolex.org/wiki/Category:Alpha1B_receptor,Alpha adrenergic receptor with a lower affinity for WB-4101.,,,
term_hippocampome_evidence,alpha2C receptor,alpha2C receptor,1,Neurolex,NIF,Neurolex,nifext_7113,http://neurolex.org/wiki/Category:Alpha2C_receptor,"The alpha-2C adrenergic receptor, also known as ADRA2C, is an alpha-2 adrenergic receptor, and also denotes the human gene encoding it. Alpha-2-adrenergic receptors include 3 highly homologous subtypes: alpha2A, alpha2B, and alpha2C. These receptors have a critical role in regulating neurotransmitter release from sympathetic nerves and from adrenergic neurons in the central nervous system. Studies in mouse revealed that both the alpha2A and alpha2C subtypes were required for normal presynaptic control of transmitter release from sympathetic nerves in the heart and from central noradrenergic neurons; the alpha2C subtype modulated neurotransmission at lower levels of nerve activity. (Adapted from Entrez Gene).",,,
term_hippocampome_evidence,alveus,alveus,1,Neurolex,NIF,Neurolex,birnlex_1510,http://neurolex.org/wiki/Category:Alveus,"Layer of white matter in hippocampus lying just deep to the stratum oriens layer, continuous with the fimbria of the hippocampus",,,
term_hippocampome_molecular_marker,AMIGO2,AMIGO2,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, Q7TNJ4",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:Q7TNJ4,"Amphoterin-induced protein 2; Symbol:Amigo2; Type:protein; Taxon:Rattus norvegicus; Synonyms:AMGO2_RAT,Ali1",,,
term_hippocampome_evidence,AMPA receptor,AMPA receptor,1,Neurolex,NIF,Neurolex,sao265434492,http://neurolex.org/wiki/Category:AMPA_Receptor,"Cell surface proteins that bind glutamate and directly gate ion channels in cell membranes. AMPA receptors were originally discriminated from other glutamate receptors by their affinity for the agonist AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid). They are probably the most common mediators of fast excitatory synaptic transmission in the central nervous system. Several subtypes have been cloned, and for some types the traditional distinction from kainate receptors may not apply (MSH).",,,
term_petilla_molecular,AMPA receptor,Receptors - Ionotropic - AMPA,1,CRISP,BIOPORTAL,CRISP Thesaurus,4007-0004,http://bioportal.bioontology.org/visualize/44432/?conceptid=4007-0004,"""subtype of glutamate receptor activated by alpha-amino-5-methyl isoxazole-4-propionate (AMPA); mediates rapid, excitatory signalling between central neurons; capable of rapid desensitization""",P,H - R,
term_petilla_molecular,AMPA receptor,Receptors - Ionotropic - AMPA,1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0032281,http://bioportal.bioontology.org/visualize/45118/?conceptid=GO%3A0032281,"""An assembly of four or five subunits which form a structure with an extracellular N-terminus and a large loop that together form the ligand binding domain. The C-terminus is intracellular. The ionotropic glutamate receptor complex itself acts as a ligand gated ion channel; on binding glutamate, charged ions pass through a channel in the center of the receptor complex. The AMPA receptors mediate fast synaptic transmission in the CNS and are composed of subunits GluR1-4, products from separate genes. These subunits have an extracellular N-terminus and an intracellular C-terminus.""",P,H - R,
term_petilla_molecular,AMPA receptor,Receptors - Ionotropic - AMPA,1,MeSH,NCBI,MeSH,D018091,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=16926&field=all&HM=&II=&PA=&form=&input=,A class of ionotropic glutamate receptors characterized by their affinity for the agonist AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid),P,H - R,
term_petilla_molecular,AMPA receptor,Receptors - Ionotropic - AMPA,1,Neurolex,NIF,Neurolex,sao265434492,http://neurolex.org/wiki/Category:AMPA_Receptor," Cell surface proteins that bind glutamate and directly gate ion channels in cell membranes. AMPA receptors were originally discriminated from other glutamate receptors by their affinity for the agonist AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid). They are probably the most common mediators of fast excitatory synaptic transmission in the central nervous system. Several subtypes have been cloned, and for some types the traditional distinction from kainate receptors may not apply (MSH).",P,H - R,
term_hippocampome_molecular_marker,AMPAR 2/3,AMPAR 2/3,1,Gene Ontology,Gene Ontology,AmiGO 2," MGI, MGI:95810",http://amigo2.berkeleybop.org/amigo/gene_product/MGI:MGI:95810,"glutamate receptor, ionotropic, AMPA3 (alpha 3): Symbol:Gria3; Type:protein; Taxon:Mus musculus; Synonyms:2900064I19Rik,Glur3,Glur-3,Gluralpha3",,,
term_hippocampome_evidence,ampere,ampere,2,Merriam-Webster Medical,Merriam-Webster,Medical,ampere,http://www.merriam-webster.com/medical/ampere,1: the practical mks unit of electric current that is equivalent to a flow of one coulomb per second or to the steady current produced by one volt applied across a resistance of one ohm. 2: the base unit of electric current in the International System of Units that is equal to a constant current which when maintained in two straight parallel conductors of infinite length and negligible circular sections one meter apart in a vacuum produces between the conductors a force equal to 2 _ 10_7 newton per meter of length,,,
term_hippocampome_evidence,anatomical,anatomical,1,Neurolex,NIF,Neurolex,birnlex_6,http://neurolex.org/wiki/Category:Anatomical_entity,"Organismal continuant entity which is enclosed by the bona fide boundary of an organism or is an attribute of its structural organization. Examples: cell, heart, head, peritoneal cavity, apex of lung, anatomical term, sagittal plane (FMA).",,,
term_hippocampome_evidence,anesthetized,anesthetized,3,TheFreeDictionary,TheFreeDictionary,Medical Dictionary,anesthetized,http://medical-dictionary.thefreedictionary.com/anesthetized,To produce loss of sensation.,,,
term_hippocampome_evidence,animal,animal,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,animal,http://www.merriam-webster.com/dictionary/animal,a living thing that is not a human being or plant,,,
term_hippocampome_evidence,anterior,anterior,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,anterior,http://www.merriam-webster.com/dictionary/anterior,near or toward the front of something (such as the body),,,
term_hippocampome_evidence,anterior bundle,anterior bundle,1,Neurolex,NIF,Neurolex,nlx_147999,http://neurolex.org/wiki/Category:Anterior_bundle,Tract which runs through the hole in the middle of the ellipsoid body (the ellipsoid body canal).,,,
term_hippocampome_evidence,antibody,antibody,1,Neurolex,NIF,Neurolex,birnlex_2110,http://neurolex.org/wiki/Category:Antibody,"An antibody is any of the structurally related proteins that function as immunoglobulins. They are divided into five classes (IGA, IGD, IGE, IGG, IGM) on the basis of structure and biological activity.",,,
term_hippocampome_electrophysiology,APampl,APampl,1,Hippocampome.org,CNG,Hippocampome.org,APampl,http://hippocampome.org/ephys-defs,action potential amplitude (mV),,,
term_hippocampome_electrophysiology,APampl,APampl,1,Neurolex,NIF,NeuroLex,oen_0001020,http://neurolex.org/wiki/Category:Spike_Amplitude,Average amplitude of the first AP (measured from AP threshold to AP peak),,,
term_hippocampome_evidence,APampl,spike amplitude,1,Neurolex,NIF,Neurolex,oen_0001020,http://neurolex.org/wiki/Category:Spike_Amplitude,Average amplitude of the first AP (measured from AP threshold to AP peak),,,
term_petilla_physiological,APampl,Amplitude,1,BIOPORTAL,BIOPORTAL,"Read Codes, Clinical Terms Version 3",X77KG,http://bioportal.bioontology.org/ontologies/42295?p=terms&conceptid=X77KG,Nerve action potential amplitude,,,
term_petilla_physiological,APampl,Amplitude,1,BIOPORTAL,BIOPORTAL,SNOMED Clinical Terms,251569007,http://bioportal.bioontology.org/ontologies/44777?p=terms&conceptid=251569007,Nerve action potential amplitude,,,
term_petilla_molecular,apical dendrite,neuron-property-part-entire_neuron-dendrite-apical,2,Scholarpedia,Scholarpedia,Article,Pyramidal_neuron:apical dendrite,http://www.scholarpedia.org/article/Pyramidal_neuron,...apical dendrite emerges from the apex of the pyramidal soma.,,,
term_petilla_morphological,apical dendrite,apical dendrite,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao273773228,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao273773228 ,,,,
term_hippocampome_electrophysiology,APwidth,APwidth,1,Hippocampome.org,CNG,Hippocampome.org,APwidth,http://hippocampome.org/ephys-defs,action potential width (ms),,,
term_hippocampome_electrophysiology,APwidth,APwidth,1,Neurolex,NIF,NeuroLex,oen_0001005,http://neurolex.org/wiki/Category:Spike_width,"Duration of AP, not explicitly referred to as half-width",,,
term_hippocampome_evidence,APwidth,spike half-width,1,Neurolex,NIF,Neurolex,oen_0001019,http://neurolex.org/wiki/Category:Spike_half-width,Average time for first AP half amp to the same voltage during offset,,,
term_hippocampome_evidence,APwidth,spike width,1,Neurolex,NIF,Neurolex,oen_0001005,http://neurolex.org/wiki/Category:Spike_width,"Duration of AP, not explicitly referred to as half-width",,,
term_hippocampome_evidence,arbor,arbor,2,Merriam-Webster Medical,Merriam-Webster,Medical,arbor,http://www.merriam-webster.com/medical/arbor,a branching anatomical structure resembling a tree,,,
term_hippocampome_evidence,arborization,arborization,2,Merriam-Webster Medical,Merriam-Webster,Medical,arborization,http://www.merriam-webster.com/medical/arborization,a treelike figure or arrangement of branching parts; especially :Ã a treelike part or process (as a dendrite) of a nerve cell <the terminal arborization of an axon>,,,
term_hippocampome_evidence,aspiny dendrite,aspiny dendrite,1,Neurolex,NIF,Neurolex,sao128827344,http://neurolex.org/wiki/Category:Aspiny_Dendrite_Quality,A dendrite characterized by few or no recognizable dendritic spines.,,,
term_hippocampome_evidence,assay,assay,1,Neurolex,NIF,Neurolex,nlx_151921,http://neurolex.org/wiki/Category:Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies(Ontology of Biomedical Investigation: obo:OBI_0000070)",,,
term_hippocampome_evidence,asymmetric,asymmetric,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,asymmetric,http://www.merriam-webster.com/dictionary/asymmetric,having two sides or halves that are not the same : not symmetrical,,,
term_hippocampome_evidence,asymmetrical chemical synapse,asymmetrical chemical synapse,1,Neurolex,NIF,Neurolex,sao2047438300,http://neurolex.org/wiki/Category:Asymmetrical_Chemical_Synapse_Quality,"Type of chemical synapse characterized by a pronounced and relatively thick post-synaptic density compared to the pre-synaptic specialization giving the junction an asymmetrical appearance.  This type of synapse is also characterized by round, clear vesicles in the pre-synaptic terminal.",,,
term_petilla_morphological,asymmetrical chemical synapse,Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),1,Neurolex,NIF,Neurolex,sao2047438300,http://neurolex.org/wiki/Category:Asymmetrical_Chemical_Synapse_Quality,"Type of chemical synapse characterized by a pronounced and relatively thick post-synaptic density compared to the pre-synaptic specialization giving the junction an asymmetrical appearance. This type of synapse is also characterized by round, clear vesicles in the pre-synaptic terminal.",,,
term_hippocampome_evidence,atypical,atypical,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,atypical,http://www.merriam-webster.com/dictionary/atypical,not typical : not usual or normal,,,
term_hippocampome_evidence,axon,axon,1,Neurolex,NIF,Neurolex,GO:0030424,http://neurolex.org/wiki/Category:Axon,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals which are the site of storage and release of neurotransmitter (Gene Ontology)., Cell appendage of a neuron that consists of an axon hillock, an axon proper, axon collaterals and an axon terminal (FMA)",,,
term_petilla_molecular,axon,neuron-property-part-entire_neuron-axon,1,MeSH,NCBI,MeSH,Axons,http://www.ncbi.nlm.nih.gov/mesh?term=Axons,Nerve fibers that are capable of rapidly conducting impulses away from the neuron cell body.,,,
term_petilla_molecular,axon,neuron-property-part-entire_neuron-axon,1,Neurolex,NIF,NeuroLex,GO:0030424,http://neurolex.org/wiki/Category:Axon,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals which are the site of storage and release of neurotransmitter (Gene Ontology)., Cell appendage of a neuron that consists of an axon hillock, an axon proper, axon collaterals and an axon terminal (FMA)",,,
term_petilla_morphological,axon,Axon,1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy,FMA:67308,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A67308 ,"Cell appendage of a neuron that consists of an axon hillock, an axon proper, axon collaterals and an axon terminal.",,,
term_petilla_morphological,axon,Axon,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao1770195789,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao1770195789 ,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals which are the site of storage and release of neurotransmitter (Gene Ontology). Cell appendage of a neuron that consists of an axon hillock, an axon proper, axon collaterals and an axon terminal (FMA)",,,
term_petilla_morphological,axon,Axon,1,CRISP,BIOPORTAL,CRISP Thesaurus,2047-3613,http://bioportal.bioontology.org/ontologies/44432?p=terms&conceptid=2047-3613 ,"long fiber of a neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells; each nerve cell has one axon, which can be over a foot long; in the peripheral nervous system, the larger (myelinated) axons are surrounded by a myelin sheath formed by concentric layers of plasma membrane of the Schwann cell.",,,
term_petilla_morphological,axon,Axon,1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0030424,http://bioportal.bioontology.org/ontologies/45632?p=terms&conceptid=GO%3A0030424 ,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.",,,
term_petilla_morphological,axon,Axon,1,MeSH,NCBI,MeSH,D001369,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=1303&field=all&HM=&II=&PA=&form=&input= ,Nerve fibers that are capable of rapidly conducting impulses away from the neuron cell body.,,,
term_petilla_morphological,Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy (subset),FMA:67375,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A67375 ,,,,
term_petilla_morphological,Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy (subset),FMA:67377,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A67377 ,,,,
term_petilla_morphological,Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),1,CRISP,BIOPORTAL,CRISP Thesaurus,2047-3138,http://bioportal.bioontology.org/ontologies/44432?p=terms&conceptid=2047-3138 ,"forming of the myelin sheath, the cylindrical covering that insulates the axons of some neurons; formed from the plasma membrane of Schwann cells or oligodendrocytes.",,,
term_petilla_morphological,Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0042552,http://bioportal.bioontology.org/ontologies/45632?p=terms&conceptid=GO%3A0042552 ,The process in which myelin sheaths are formed and maintained around neurons. Oligodendrocytes in the brain and spinal cord and Schwann cells in the peripheral nervous system wrap axons with compact layers of their plasma membrane. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier.,,,
term_petilla_morphological,Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),Axon - Arbor - Unmyelinated/myelinated and myelination pattern (and AXON BUNDLE),1,Neurolex,NIF,Neurolex,nlx_subcell_20090506,http://neurolex.org/wiki/Category:Axon_bundle,Group of myelinated or unmyelinated axons that group together,,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Density/type of vesicles,Axon - Boutons - Ultrastructure - Density/type of vesicles,1,MeSH,NCBI,MeSH,D013572,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=13013&field=all&HM=&II=&PA=&form=&input= ,"Membrane-bound compartments which contain transmitter molecules. Synaptic vesicles are concentrated at presynaptic terminals. They actively sequester transmitter molecules from the cytoplasm. In at least some synapses, transmitter release occurs by fusion of these vesicles with the presynaptic membrane, followed by exocytosis of their contents.",,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Postsynaptic density size,Axon - Boutons - Ultrastructure - Postsynaptic density size,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology ,sao1196688972,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao1196688972 ,"Synaptic component; electron dense cytoskeletal specialization located on the post synaptic membrane at the site of synaptic contact. The PSD is particularly prominent in glutamatergic synapses, giving the synapse an asymmetrical appearance. This type of PSD is often referred to as ""asymmetrical"" or Gray's Type 1 (Maryann Martone, from the CCDB Dictionary).",,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Postsynaptic density size,Axon - Boutons - Ultrastructure - Postsynaptic density size,1,MeSH,NCBI,MeSH,D057907,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=25667&field=all&HM=&II=&PA=&form=&input= ,"Cytoskeleton specialization at the cytoplasmic side of postsynaptic membrane in SYNAPSES. It is involved in neuronal signaling and NEURONAL PLASTICITY and comprised of GLUTAMATE RECEPTORS; scaffolding molecules (e.g., PSD95, PSD93), and other proteins (e.g., CaCMKII).",,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy (subset),FMA:67105,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A67105 ,,,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0032279,http://bioportal.bioontology.org/ontologies/45723?p=terms&conceptid=GO%3A0032279 ,"A type of synapse occurring between an axon and a dendritic spine or dendritic shaft. Asymmetric synapses, the most abundant synapse type in the central nervous system, involve axons that contain predominantly spherical vesicles and contain a thickened postsynaptic density.",,,
term_petilla_morphological,Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),Axon - Boutons - Ultrastructure - Type of synapse (e.g. symmetric/asymmetric),1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0032280,http://bioportal.bioontology.org/ontologies/45723?p=terms&conceptid=GO%3A0032280 ,A type of synapse occurring primarily on dendrite shafts and neuronal cell bodies. Symmetric synapses involve axons containing clusters of predominantly flattened or elongated vesicles and do not contain a prominent postsynaptic density.,,,
term_petilla_molecular,axon bouton,neuron-property-part-entire_neuron-axon-bouton,1,MeSH,NCBI,MeSH,bouton,http://www.ncbi.nlm.nih.gov/mesh?term=bouton,The distal terminations of axons which are specialized for the release of neurotransmitters. Also included are varicosities along the course of axons which have similar specializations and also release transmitters. Presynaptic terminals in both the central and peripheral nervous systems are included.,,,
term_petilla_morphological,axon bouton,Axon - Boutons,1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0043195,http://bioportal.bioontology.org/ontologies/45632?p=terms&conceptid=GO%3A0043195 ,"Terminal inflated portion of the axon, containing the specialized apparatus necessary to release neurotransmitters. The axon terminus is considered to be the whole region of thickening and the terminal bouton is a specialized region of it.",,,
term_petilla_morphological,axon bouton,Axon - Boutons,1,Neurolex,NIF,Neurolex,nlx_subcell_100207,http://neurolex.org/wiki/Category:S_bouton,"Synaptic bouton found in the ventral horn of the spinal cord. S boutons range in size from 0.5 to 8 um in diameter and contain spherical synaptic vesicles, as determined by electron microscopy",,,
term_petilla_morphological,axon bouton,Axon - Boutons - Other (Terminal),1,Gene Ontology,BIOPORTAL,Gene Ontology ,GO:0043679,http://bioportal.bioontology.org/ontologies/45723?p=terms&conceptid=GO%3A0043679 ,"Terminal inflated portion of the axon, containing the specialized apparatus necessary to release neurotransmitters. The axon terminus is considered to be the whole region of thickening and the terminal button is a specialized region of it.",,,
term_hippocampome_evidence,axon collateral,axon collateral,1,Neurolex,NIF,Neurolex,sao1470140754,http://neurolex.org/wiki/Category:Axon_Collateral,Smaller branches of an axon that emanate from the main axon cylinder.,,,
term_petilla_molecular,axon collateral,neuron-property-part-entire_neuron-axon-collateral,1,Neurolex,NIF,NeuroLex,sao1470140754,http://neurolex.org/wiki/Category:Axon_Collateral,Smaller branches of an axon that emanate from the main axon cylinder.,,,
term_petilla_molecular,axon terminal,neuron-property-part-entire_neuron-axon-terminal,1,MeSH,NCBI,MeSH,axon terminal,http://www.ncbi.nlm.nih.gov/mesh?term=axon%20terminal,The distal terminations of axons which are specialized for the release of neurotransmitters. Also included are varicosities along the course of axons which have similar specializations and also release transmitters. Presynaptic terminals in both the central and peripheral nervous systems are included.,,,
term_petilla_molecular,axon terminal,neuron-property-part-entire_neuron-axon-terminal,1,Neurolex,NIF,NeuroLex,sao2007137787,http://neurolex.org/wiki/Category:Axon_Terminal,The distal terminations of axons which are specialized for the release of neurotransmitters. Also included are varicosities along the course of axons which have similar specializations and also release transmitters. Presynaptic terminals in both the central and peripheral nervous systems are included (MSH).,,,
