Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Parameter,Parameter_ID,Name of file containing figure,Protocol_tag,FTQ_ID,Figure/Table,Quote reference id,Interpretation notes figures
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,fAHP,05,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-fAHP.jpeg,,20100,ephys_table,100005742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,maxFR,08,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-maxFR.jpeg,,20100,ephys_table,100008742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,Rin,02,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-Rin.jpeg,,20100,ephys_table,100002742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,sag,10,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-sag.jpeg,,20100,ephys_table,100010742920100,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,sAHP,09,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-sAHP.jpeg,,20100,ephys_table,100009742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,tau,03,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-tau.jpeg,,20100,ephys_table,100003742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,Vrest,01,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-Vrest.jpeg,,20100,ephys_table,100001742920100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,sag,10,Patel-Schwartzkroin-2004-9005-JNeurosci-Fig4A-Cell1000-sag.jpeg,,10401,ephys_figure,100010311910401,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,APampl,06,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-APampl.jpeg,,20100,ephys_table,100006311920100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,APwidth,07,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-APwidth.jpeg,,20100,ephys_table,100007311920100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,Rin,02,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-Rin.jpeg,,20100,ephys_table,100002311920100,
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,tau,03,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-tau.jpeg,,20100,ephys_table,100003311920100,
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,Vrest,01,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-Vrest.jpeg,,20100,ephys_table,100001311920100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Patel LS, Wenzel HJ, Schwartzkroin PA.",Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,Journal of Neuroscience,2004,15483119,1000,Vthresh,04,Patel-Schwartzkroin-2004-9005-JNeurosci-Tab1-Cell1000-Vthresh.jpeg,,20100,ephys_table,100004311920100,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,APampl,06,Podlogar-Dietrich-2006-95-BrainRes-Fig3A-Cell1000-APampl.jpeg,,10301,ephys_figure,100006471110301,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,fAHP,05,Podlogar-Dietrich-2006-95-BrainRes-Fig3A-Cell1000-fAHP.jpeg,,10301,ephys_figure,100005471110301,
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,Rin,02,Podlogar-Dietrich-2006-95-BrainRes-Tab1-Cell1000-Rin.jpeg,,20100,ephys_table,100002471120100,
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,sAHP,09,Podlogar-Dietrich-2006-95-BrainRes-Tab1-Cell1000-sAHP.jpeg,,20100,ephys_table,100009471120100,
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,tau,03,Podlogar-Dietrich-2006-95-BrainRes-Tab1-Cell1000-tau.jpeg,,20100,ephys_table,100003471120100,
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,Vrest,01,Podlogar-Dietrich-2006-95-BrainRes-Tab1-Cell1000-Vrest.jpeg,,20100,ephys_table,100001471120100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Podlogar M, Dietrich D.",Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,Brain Resolution,2006,16584711,1000,Vthresh,04,Podlogar-Dietrich-2006-95-BrainRes-Tab1-Cell1000-Vthresh.jpeg,,20100,ephys_table,100004471120100,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,fAHP,05,Staley-Mody-1992-1346-JNeurophysiol-Fig3-Cell1000-fAHP.jpeg,,10300,ephys_figure,100005771710300,
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,sag,10,Staley-Mody-1992-1346-JNeurophysiol-Fig4-Cell1000-sag.jpeg,,10400,ephys_figure,100010771710400,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,APampl,06,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-APampl-e.jpeg,e,20100,ephys_table,100006771720100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,APampl,06,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-APampl-p.jpeg,p,20100,ephys_table,100006771720100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Rin,02,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Rin-e.jpeg,e,20100,ephys_table,100002771720100,
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Rin,02,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Rin-p.jpeg,p,20100,ephys_table,100002771720100,
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,tau,03,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-tau-e.jpeg,e,20100,ephys_table,100003771720100,
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,tau,03,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-tau-p.jpeg,p,20100,ephys_table,100003771720100,
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Vrest,01,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Vrest-e.jpeg,e,20100,ephys_table,100001771720100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Vrest,01,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Vrest-p.jpeg,p,20100,ephys_table,100001771720100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Vthresh,04,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Vthresh-e.jpeg,e,20100,ephys_table,100004771720100,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,1000,Vthresh,04,Staley-Mody-1992-1346-JNeurophysiol-Tab1-Cell1000-Vthresh-p.jpeg,p,20100,ephys_table,100004771720100,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,1001,Rin,02,Williams-Strowbridge-2007-13756-JNeurosci-Fig2A1-Cell1001-Rin.jpeg,,10201,ephys_figure,100102768710201,
"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,1001,tau,03,Williams-Strowbridge-2007-13756-JNeurosci-Fig2A1-Cell1001-tau.jpeg,,10201,ephys_figure,100103768710201,
"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,1001,Vthresh,04,Williams-Strowbridge-2007-13756-JNeurosci-Fig2A1-Cell1001-Vthre.jpeg,,10201,ephys_figure,100104768710201,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,1001,maxFR,08,Williams-Strowbridge-2007-13756-JNeurosci-Fig2A1-Cell1001-maxFR.jpeg,,10201,ephys_figure,100108768710201,
"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,1001,fAHP,05,Williams-Strowbridge-2007-13756-JNeurosci-Fig2A2-Cell1001-fAHP.jpeg,,10201,ephys_figure,100105768710201,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,APampl,06,Lubke-Spruston-1998-JNeurophys-Fig5C-Cell1002-APampl.jpeg,,10503,ephys_figure,100206742910503,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,Vthresh,04,Lubke-Spruston-1998-JNeurophys-Fig5C-Cell1002-Vthresh.jpeg,,10503,ephys_figure,100204742910503,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,APwidth,07,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-APwidth.jpeg,,20100,ephys_table,100207742920100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,fAHP,05,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-fAHP.jpeg,,20100,ephys_table,100205742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,maxFR,08,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-maxFR.jpeg,,20100,ephys_table,100208742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,Rin,02,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-Rin.jpeg,,20100,ephys_table,100202742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,sag,10,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-sag.jpeg,,20100,ephys_table,100210742920100,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,sAHP,09,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-sAHP.jpeg,,20100,ephys_table,100209742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,tau,03,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-tau.jpeg,,20100,ephys_table,100203742920100,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1002,Vrest,01,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1002-Vrest.jpeg,,20100,ephys_table,100201742920100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,fAHP,05,Mott-Lewis-1997-3990-JNeurosci-Fig10A-Cell1004-fAHP.jpeg,,11001,ephys_figure,100405171611001,
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,sAHP,09,Mott-Lewis-1997-3990-JNeurosci-Fig10B-Cell1004-sAHP.jpeg,,11002,ephys_figure,100409171611002,
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,Vthresh,04,Mott-Lewis-1997-3990-JNeurosci-Fig10B-Cell1004-Vthresh.jpeg,,11002,ephys_figure,100404171611002,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,maxFR,08,Mott-Lewis-1997-3990-JNeurosci-Fig7C-Cell1004-maxFR.jpeg,,10703,ephys_figure,100408171610703,
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,APampl,06,Mott-Lewis-1997-3990-JNeurosci-Fig8A-Cell1004-APampl.jpeg,,10801,ephys_figure,100406171610801,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,APwidth,07,Mott-Lewis-1997-3990-JNeurosci-Fig8A-Cell1004-APwidth.jpeg,,10801,ephys_figure,100407171610801,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,Rin,02,Mott-Lewis-1997-3990-JNeurosci-Tab1-Cell1004-Rin.jpeg,,20100,ephys_table,100402171620100,
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,tau,03,Mott-Lewis-1997-3990-JNeurosci-Tab1-Cell1004-tau.jpeg,,20100,ephys_table,100403171620100,
"Mott DD, Turner DA, Okazaki MM, Lewis DV.",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1004,Vrest,01,Mott-Lewis-1997-3990-JNeurosci-Tab1-Cell1004-Vrest.jpeg,,20100,ephys_table,100401171620100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,fAHP,05,Ledri-Kokaia-2012-1971-EurJNeuroSci-Fig1A-Cell1005-fAHP.jpeg,,10101,ephys_figure,100505230710101,
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,sAHP,09,Ledri-Kokaia-2012-1971-EurJNeuroSci-Fig1A-Cell1005-sAHP.jpeg,,10101,ephys_figure,100509230710101,
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,APampl,06,Ledri-Kokaia-2012-1971-EurJNeuroSci-Tab1-Cell1005-APampl.jpeg,,20100,ephys_table,100506230720100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,APwidth,07,Ledri-Kokaia-2012-1971-EurJNeuroSci-Tab1-Cell1005-APwidth.jpeg,,20100,ephys_table,100507230720100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,Rin,02,Ledri-Kokaia-2012-1971-EurJNeuroSci-Tab1-Cell1005-Rin.jpeg,,20100,ephys_table,100502230720100,
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,Vrest,01,Ledri-Kokaia-2012-1971-EurJNeuroSci-Tab1-Cell1005-Vrest.jpeg,,20100,ephys_table,100501230720100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M.",Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,European Journal of Neuroscience,2012,22512307,1005,Vthresh,04,Ledri-Kokaia-2012-1971-EurJNeuroSci-Tab1-Cell1005-Vthresh.jpeg,,20100,ephys_table,100504230720100,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
