ReferenceID,CellID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Area,Soma_state,Soma,Species,Strain,Type,Gender,Age,Slice,Recording,Labeled,Markers,Input,Output,Sections
800020,3007,,"""Figure 3. Dendritic and axonal arbors of basket cells recorded and filled in the CA1 and CA2 regions. ... Ca, A CA2 basket cell was reconstructed using a drawing tube (1000x). The dendritic tree of this basket cell (in black) extended radially through all layers of the CA2 region and horizontally in SO and SP of the CA2 and CA3 regions. One horizontal dendrite also reached the CA1 region. The axon (in red) extended to the CA3 and CA1 regions.""","p7332, Fig3Ca",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
800022,3003,,"""Figure 4. Dendritic and axonal patterns of bistratified cells recorded and filled in the CA1 and CA2 regions. ... Ba, Reconstruction of a CA2 bistratified cell using a drawing tube. This cell presented a narrow dendritic arbor (in black) that extended from SO to SR without entering SLM. The axon (in red) was strongly polarized and arborized mainly in SO and SR of CA2 and CA1 but did not enter CA3. The bistratified cell was CCK immunonegative.""","p7334, Fig4Ba",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
800024,3003,,"""Figure 4. Dendritic and axonal patterns of bistratified cells recorded and filled in the CA1 and CA2 regions. ... Ca, Reconstruction of another CA2 bistratified cell. This interneuron presented a broad dendritic arbor (in black) that extended to the CA1 and CA3 regions. The axonal arbor of this bistratified cell (in red) was strongly polarized ramifying in SO and SR of the CA2 and CA1 regions but not CA3.""","p7334, Fig4Ca",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
800026,3008,,"""FIGURE 1. Morphological features of SP-SR interneurones of the CA2 region of the hippocampus. SO, stratum oriens; SP, stratum pyramidale; SR, stratum radiatum; SLM, stratum lacunosum-moleculare; PV, parvalbumin; CCK, cholecystokinin. (A-C) Reconstructions of three SP-SR interneurones (dendrites in black and axon in red). The broad dendritic arbors of these interneurones extended radially through SO and SR but did not enter SLM. Their axons arborized mainly in SR of the CA2 region with only a few branches, if any, extending to SO, SP, or SLM. The majority of these axons were restricted to subregions of SR of the CA2 region, with some branches extending into proximal CA1 or CA3. The SP-SR interneurones were PV- and CCK-immunonegative.""","p1760, Fig1A",,"Mercer A,�Botcher NA,�Eastlake K,�Thomson�AM",SP-SR interneurones: a novel class of neurones of the CA2 region of the hippocampus,Hippocampus,2012,22431345,0,CA2,Erased,SP,RAT,WISTAR,WILDTYPE,MALE,90-190G,,INTRACELLULAR,BIOCYTIN 2%,,,,50 THICK
800028,1000,,"""Fig. 3. A camera lucida drawing of an HRP-filled dentate granule cell located in the middle of the suprapyramidal blade (see insert). The primary or parent mossy fiber extends through the hilar region (H) to the pyramidal cell layer (PL) of the hippocampus. The dashed lines show the approximate border between the hilar region of the dentate gyrus and field CA3 of the hippocampus; the broken lines in the inset drawing marks the location of field CA3. The collaterals that are given off by the mossy fiber within the hilus have small, round varicosities (some are indicated by arrowheads) and larger, irregular varicosities (enclosed by open circles) that resemble mossy fiber expansions (enclosed by open squares) in CA3. Cut collaterals are indicated by solid circles. Note that some collaterals extend completely across the hilus and approach the infrapyramidal blade (IPB). Note also the absence of large mossy expansions on the parent axon until after it enters field CA3. Scale bar = 100 [micro]m.""","p441, Fig3",,"Claiborne, B. J., Amaral, D. G. & Cowan, W. M.",A light and electron microscopic analysis of the mossy fibers of the rat dentate gyrus.,J. Comp. Neurol.,1986,3700723,0,DG,Erased,GL,Rat,SD,Wildtype,Both,35-50 PD,Trnasversal,Intracellular, HRP 2-3%,,,,150-200 from surface
800030,1000,,"""Fig. 4. A camera lucida drawing of another HRP-filled granule cell, located in the infrapyramidal blade near the crest (see insert). Note that the collaterals of this cell extend throughout much of the hilar region. The computer plot of this cell is shown in Figure 5D. Symbols indicating collateral varicosities and expansions are the same as in Figure 3. Scale bar = 100 [micro]m.""","p442, Fig4",,"Claiborne, B. J., Amaral, D. G. & Cowan, W. M.",A light and electron microscopic analysis of the mossy fibers of the rat dentate gyrus.,J. Comp. Neurol.,1986,3700723,0,DG,Erased,GL,Rat,SD,Wildtype,Both,35-50 PD,Trnasversal,Intracellular, HRP 2-3%,,,,150-200 from surface
800032,1000,,"""FIG. 1. Paired morphology and physiology of a dentate granule cell. A: morphology of the biocytin-filled neuron. Dendrites (black) form a characteristic cone-shaped dendritic tree. Several axon collaterals (red) project deep into the hilus with the main axon projecting toward the pyramidal cell layer. r, origin of the axon from the cell body; thick black line indicates the pial surface. H, hilar region; GL, granule cell layer; ML, molecular layer. Scale bar: 100 [micro]m.""","p1520, Fig1A",,"Lubke J, Frotscher M, Spruston N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,0,DG,Erased,GL,Rat,Wistar,Wildtype,NS,13-35 PD,Transverse,Whole Cell,Biocytin 5mg/ml,,,,
800034,1041,,"""Figure 5. Transverse and longitudinal views of three hilar EGC reconstructions. ... E,F: Reconstruction of hilar EGC 889-3 from a nonepileptic control rat, presented in transverse (E) and longitudinal (F) views. There were dendrites (black) in both the hilus and ML. Axons are shown in red. Subfield boundaries and section borders are shown in blue. Scale bars (green) = 50 [micro]m. GCL, granule cell layer.""","p1206, Fig5E",,"Pierce�JP,�McCloskey DP,�Scharfman�HE",Morphometry of hilar ectopic granule cells in the rat,Journal of Comparative Neurology,2011,21344409,0,DG,Erased,GL,Rat,SD,Wildtype,Male,Adult,Horizontal,Intracellular,Neurobiotin 4%,,,,40 Thick
800036,1001,,"""Figure2. Features that distinguish granule cells from semilunar granule cells. ... B, Reconstruction of a biocytin-filled semilunar granule cell shows the location of somata in the ML and demonstrates the wider dendritic span compared with the granule cell in A. Note the high degree of branching of the SGC axon (thin line) in the hilus and projection to CA3. Inset, Confocal image of the somata of the SGC in B shows labeling for biocytin (left), Prox1 (middle), and the merged image (right), illustrating colabeling. Scale bar, 5 [micro]m.""","p2525, Fig2B",,"Gupta A, Elgammal FS, Proddutur A, Shah S, Santhakumar V",Decrease in tonic inhibition contributes to increase in dentate semilunar granule cell excitability after brain injury,J Neurosci,2012,22396425,0,DG,Erased,Mli,Rat,Wistar,Wildtype,Male,24-26 PD,Horizontal,Whole Cell,Biocytin 0.2%,,,,
800038,1001,,"""Figure 3. Increase in excitability of semilunar granule cells after brain injury. A, B, Biocytin-filled and reconstructed semilunar granule cells in experiments performed 1 week after sham injury (A) and head injury (B) show the SGC soma in the molecular layer (ML) and widespread dendrites (thick lines). Axons (thin lines) of both control and injured SGCs are seen projecting toward CA3. Note the axon collateral in the inner molecular layer (arrowhead) of the control SGC in A. Insets, Confocal images of biocytin (left) and Prox1 labeling (middle) of the SGC soma. The merged images (right) demonstrate Prox1 labeling in SGCs from both sham- injured and FPI rats. Scale bar, 5 [micro]m.""","p2526, Fig3A",,"Gupta A, Elgammal FS, Proddutur A, Shah S, Santhakumar V",Decrease in tonic inhibition contributes to increase in dentate semilunar granule cell excitability after brain injury,J Neurosci,2012,22396425,0,DG,Erased,Mli,Rat,Wistar,Wildtype,Female,24-26 PD,Horizontal,Whole Cell,Biocytin 0.2%,,,,
800040,1002,,"""Fig. 4. Camera lucida drawings of a mossy cell in which an antidromic response was evoked from inner molecular layer stimulation. (A) The soma and dendritic arbor were within the hilus (H). The primary axon projects out of the dentate gyrus to the alveus of CA3. (B) Soma and axonal plexus. Approximate stimulation sites are indicated by circles (a-f), the diameter of which reflects the intertip distance of the bipolar electrode. Stimulation (>= 200 [micro]A) at site e evoked an antidromic action potential. Stimulation with intensities up to 500 [micro]A at sites in the molecular layer closer to the soma and initial segment (sites b, c, and d), at site a, and at site f, at the distal extent of an axon collateral, failed to evoke antidromic or direct action potentials. Two axonal collaterals projected to the molecular layer (ML), one to the granule cell layer (GL), and one to the [sic]""","p354, Fig4AB",,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,0,DG,Erased,Hilus,Rat,SD,Wildtype,Female,150-250g,Horizontal,Intracellular,Biocytin 2%,,,,60-80Thick
800042,1002,,"""Fig. 7. A mossy cell deep in the hilus (H). This cell had one of the most extensive axonal projections to the molecular layer (ML). ... (B) Camera lucida drawing of soma and dendritic arbor. Note that the dendrites extend widely within the hilus but do not penetrate the granule cell layer (GL). (C) Camera lucida drawing of soma and axonal plexus. The axon ramifies throughout the hilus and enters the dentate granule cell layer (both superior and inferior blades) at considerable distances from the soma of origin. A single collateral projects through the CA3 cell body layer (CA3) and toward the fimbria. Calibration bars in B and C, 100 [micro]m.""","p357, Fig7BC",,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,0,DG,Erased,Hilus,Rat,SD,Wildtype,Female,150-250g,Horizontal,Intracellular,Biocytin 2%,,,,60-80Thick
800044,1002,,"""Fig. 8. Camera lucida drawings of a mossy cell close to the superior blade of the granule cell layer (GL). (A) Soma and dendritic arbor. The soma of this mossy cell was fusiform. Dendrites stop abruptly at the granule cell layer. (B) Soma and axonal plexus. Axon collaterals penetrate the granule cell layer both close to and distant from the cell of origin. Calibration bars, 100 [micro]m. H, hilus; MLd, molecular layer of the dentate.""","p358, Fig8AB",,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,0,DG,Erased,Hilus,Rat,SD,Wildtype,Female,150-250g,Horizontal,Intracellular,Biocytin 2%,,,,60-80Thick
800046,1043,,"""Fig. 5. Camera lucida drawings of a mossy cell in which an antidromic response was evoked from stimulation of the inner molecular layer. (A) The soma and dendritic arbor. This mossy cell was one of the few with a dendrite that projected through the granule cell layer (GL) and into the molecular layer (ML); it was the only cell with two molecular layer dendrites. Other dendritic branches ramified within the hilus (H). (B) Soma and axonal plexus. The stimulation sites are indicated (a-e). Stimulation (a 368 FA) only at site b evoked an antidromic action potential; an axonal collateral projected into the molecular layer near this point. Two other axonal collaterals entered the CA3 pyramidal cell layer (CA3). Calibration bars, 100 [micro]m.""","p355, Fig5AB",,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,0,DG,Erased,Hilus,Rat,SD,Wildtype,Female,150-250g,Horizontal,Intracellular,Biocytin 2%,,,,60-80Thick
800048,1027,,"""Supporting Information Figure 4. Hilar commissural associational pathway related (HICAP)-like cells (class 2) contributed to classes M2 and P3 (yellow code in Fig. 2A,4A,6B). (A,B) Two representative Neurolucida reconstructions are shown. Note, the axonal arborisation distributed in the inner part of the molecular layer (ml). Soma and dendrites are shown in black and the axon in red. A subset of cells showed axon projections in the hilus. ... Scale bar 100 [micro]m; gcl, granule cell layer""","pS4, FigS4B",,"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",Morpho-physiological criteria divide dentate gyrus interneurons into classes,Hippocampus,2014,24108530,0,DG,Erased,Hilus,Mouse,GAD 67eGFP Knock in,Transgenic,NS,18-25 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
800050,1027,,"""FIG. 8. Camera lucida reconstructions of 2 multipolar aspiny hilar interneurons. Arrows, origin of the axons; thick black lines indicate the pial surface. Note that the axonal projection (red) terminates mainly within the inner molecular layer closer to the granule cell layer (cell in A) and the outer molecular layer (cell in B). Both cells have a prominent axonal domain in the hilus and in CA3c. H, hilar region; GL, granule cell layer; ML, molecular layer. Scale bar: 100 [micro]m.""","p1529, Fig8A",,"Lubke J, Frotscher M, Spruston N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,0,DG,Erased,GL,Rat,Wistar,Wildtype,NS,13-35 PD,Transverse,Whole Cell,Biocytin 5mg/ml,,,,
800052,1027,,"""FIG. 9. Paired morphology and physiology of an aspiny hilar interneuron. A: morphology of the biocytin-filled neuron Axonal projection of the neuron (red) is confined mainly to the inner molecular layer. r, origin of the axon from the cell body; thick black line indicates the pial surface. H, hilar region; GL, granule cell layer; ML, molecular layer. Scale bar: 100 [micro]m.""","p1530, Fig9A",,"Lubke J, Frotscher M, Spruston N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,0,DG,Erased,GL,Rat,Wistar,Wildtype,NS,13-35 PD,Transverse,Whole Cell,Biocytin 5mg/ml,,,,
800054,1010,,"""Supporting Information Figure 3. Basket cell (BC)-like neurons (class 1) contributed to classes M1 and P1 (orange code in Fig. 2A,4A,6B). (A,B,C) Three representative Neurolucida reconstructions of class 1 neurons. Soma and dendrites are shown in black and the axon projections in the granule cell layer (gcl) are shown in red. Note, some class 1 cells show axon collaterals in the hilus. ... Scale bar 100 [micro]m; ml, molecular layer.""","pS3, FigS3B",,"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",Morpho-physiological criteria divide dentate gyrus interneurons into classes,Hippocampus,2014,24108530,0,DG,Erased,Hilus,Mouse,GAD 67eGFP Knock in,Transgenic,NS,18-25 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
800056,1035,,"""Supporting Information Figure 3. Basket cell (BC)-like neurons (class 1) contributed to classes M1 and P1 (orange code in Fig. 2A,4A,6B). (A,B,C) Three representative Neurolucida reconstructions of class 1 neurons. Soma and dendrites are shown in black and the axon projections in the granule cell layer (gcl) are shown in red. Note, some class 1 cells show axon collaterals in the hilus. ... Scale bar 100 [micro]m; ml, molecular layer.""","pS3, FigS3A",,"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",Morpho-physiological criteria divide dentate gyrus interneurons into classes,Hippocampus,2014,24108530,0,DG,Erased,Hilus,Mouse,GAD 67eGFP Knock in,Transgenic,NS,18-25 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
800058,1035,,"""Supporting Information Figure 3. Basket cell (BC)-like neurons (class 1) contributed to classes M1 and P1 (orange code in Fig. 2A,4A,6B). (A,B,C) Three representative Neurolucida reconstructions of class 1 neurons. Soma and dendrites are shown in black and the axon projections in the granule cell layer (gcl) are shown in red. Note, some class 1 cells show axon collaterals in the hilus. ... Scale bar 100 [micro]m; ml, molecular layer.""","pS3, FigS3C",,"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",Morpho-physiological criteria divide dentate gyrus interneurons into classes,Hippocampus,2014,24108530,0,DG,Erased,Hilus,Mouse,GAD 67eGFP Knock in,Transgenic,NS,18-25 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
800060,1036,,"""Figure2. Heterogeneity of non-FS INs. A, A non-FS cell (A1), a putative CB1R+ IN, with the axonal distribution within the IML (bottom, density plot) exhibited asynchronous release onto GCs (A2, arrow) and DSI (A3).""","p1347, Fig2A1",,"Liu YC, Cheng JK, Lien CC",Rapid dynamic changes of dendritic inhibition in the dentate gyrus by presynaptic activity patterns,J Neurosci,2014,24453325,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-25PD,Transverse,Cell attached,Biocytin 0.4%,,,,
800062,1009,,"""Figure2. Heterogeneity of non-FS INs. ... B, A non-FS cell, a putative hilar C/A pathway-related (HICAP) cell (B1), had the main axonal innervation in the IML.""","p1347, Fig2B1",,"Liu YC, Cheng JK, Lien CC",Rapid dynamic changes of dendritic inhibition in the dentate gyrus by presynaptic activity patterns,J Neurosci,2014,24453325,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-25PD,Transverse,Cell attached,Biocytin 0.4%,,,,
800064,1009,,"""Figure 3. IML cell reconstructions. A, This IML cell with a fusiform soma distributed its axon primarily in the IML with very little overlap into the GCL (A1). In A2 the axon has been omitted, and the extent of the branching of its aspinous dendrites can be seen extending to the OML and along the D/H border. (In this and all following cell reconstructions, part 1 will show the cell with its axon included and in part 2 the axon is omitted. Scale bars in this and all subsequent reconstructions are 100 [micro]m.)""","p3995, Fig3A",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800066,1009,,"""Figure 3. IML cell reconstructions. ... B, Reconstruction of the IML cell pictured in Figure 2. This cell had no dendrites reaching the OML, but a dendrite leaving the superior aspect of the soma may have been amputated judging from the stump-like process there.""","p3995, Fig3B",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800068,1013,,"""FIG. 4. Axonal and dendritic arborization of a hilar cell having an axonal field associated with the termination zone of the perforant pathway (HIPP cell; also shown in Fig. 6) in the outer two-thirds of the molecular layer (ml). The soma is situated just below the granule cell layer (gcl). The dendritic tree is restricted to the hilus (hi); the axonal arborization (a, origin of axon) penetrates through the hippocampal fissure and branches can be found in the stratum lacunosum moleculare (sl-m) of the CA1 region. Most of the dendrites are sparsely covered by irregularly shaped thorns and spines.""","p400, Fig4A",,"Han ZS, Buhl EH, L_rinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus,The European journal of neuroscience,1993,8261117,0,DG,Erased,Hilus,Rat,Wistar,Wildtype,Female,Young,Horizontal,Intracellular,Biocytin 2%,,,,
800070,1013,,"""Supporting Information Figure 7. Hilar perforant path-associated (HIPP)-like cells (class 4) fall in classes M4, P1 and P3 (purple code in Fig. 2A,4A,6B) with axon predominantly located in the outer two thirds of the molecular layer. (A) Two reconstructions of HIPP-like cells are shown. Note, soma, dendrites are located at the gcl-hilus border and the axonal arborization is distributed in the molecular layer (ml). Close to the axon initial segment of the left cell the axon also arborizes in the inner molecular layer thereby representing a non-classical HIPP cell. Soma and dendrites are shown in black and the axon in red.""","pS7, FigS7A",,"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",Morpho-physiological criteria divide dentate gyrus interneurons into classes,Hippocampus,2014,24108530,0,DG,Erased,Hilus,Mouse,GAD 67eGFP Knock in,Transgenic,NS,18-25 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
