"RefID","source_ID","source_class","target_ID","target_class","Quote","Location","Author","Title","Journal","Year","PMID/ISBN","pmid_isbn_page","UID","Unknown","Figure","HcoRefID"
1000544,4000,"CA1 Pyr",4000,"CA1 Pyr","Figure 6. Synaptic Transmission and Reconstruction of a Reciprocally Connected Ivy and Pyramidal Cell Pair in the CA1 Region of the Hippocampus (A) Reconstruction (from a 450-[micro]m-thick slice) of the Ivy cell {CA1 CA1 Ivy} (soma/dendrites in orange, axon in yellow) and the pyramidal cell (soma/dendrites in light blue, axon in white). A large portion of the interneuron's axonal arbor is located in stratum pyramidale and stratum oriens, with very few collaterals extending into stratum radiatum and alveus. (B) Responses of the Ivy cell to injected current pulses, demonstrating the frequency adaptation seen in these interneurons. (C) Action potentials elicited by just suprathreshold current pulses in the pyramidal cell (mauve trace), the Ivy cell (orange trace), and a bistratified cell recorded in another experiment (gray trace) are superimposed. The Ivy cell action potential is similar in width to that of the pyramidal cell and is considerably broader than the action potential in the bistratified cell. (D) Composite averages of the excitatory postsynaptic potentials (EPSPs) elicited by the pyramidal cell in the Ivy cell, demonstrating the strong paired pulse and brief train depression typical of these inputs. (E) Composite averages of the inhibitory postsynaptic potentials (IPSPs) elicited by the Ivy cell in the pyramidal cell, demonstrating the typically slow time course and paired pulse depression of the IPSPs. (F) Photomicrographs of the Ivy cell at two different magnifications to illustrate a putative synaptic input from the pyramidal cell to the interneuron (red arrows). Two such putative contacts were identified. The lower bouton and contact site is directly above the dendrite and not visible on this micrograph. Vertical scale bars: (B), 20 mV; (C), 20 mV; (D) EPSPs, 2 mV; spike, 20 mV; (E) spike, 20 mV; IPSP, 1 mV. Horizontal scale bars: (A), 100 _m; (B), 40 ms; (C), 2 ms; (D), 20 ms; (E), 50 ms; (F) left, 5 _m; right, 2.5 _m.","p925, Fig. 6","Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity","Neuron",2008,18367092,0,NULL,NULL,NULL,NULL
1000544,4081,"CA1 Ivy",4000,"CA1 Pyr","Figure 6. Synaptic Transmission and Reconstruction of a Reciprocally Connected Ivy and Pyramidal Cell Pair in the CA1 Region of the Hippocampus (A) Reconstruction (from a 450-[micro]m-thick slice) of the Ivy cell {CA1 CA1 Ivy} (soma/dendrites in orange, axon in yellow) and the pyramidal cell (soma/dendrites in light blue, axon in white). A large portion of the interneuron's axonal arbor is located in stratum pyramidale and stratum oriens, with very few collaterals extending into stratum radiatum and alveus. (B) Responses of the Ivy cell to injected current pulses, demonstrating the frequency adaptation seen in these interneurons. (C) Action potentials elicited by just suprathreshold current pulses in the pyramidal cell (mauve trace), the Ivy cell (orange trace), and a bistratified cell recorded in another experiment (gray trace) are superimposed. The Ivy cell action potential is similar in width to that of the pyramidal cell and is considerably broader than the action potential in the bistratified cell. (D) Composite averages of the excitatory postsynaptic potentials (EPSPs) elicited by the pyramidal cell in the Ivy cell, demonstrating the strong paired pulse and brief train depression typical of these inputs. (E) Composite averages of the inhibitory postsynaptic potentials (IPSPs) elicited by the Ivy cell in the pyramidal cell, demonstrating the typically slow time course and paired pulse depression of the IPSPs. (F) Photomicrographs of the Ivy cell at two different magnifications to illustrate a putative synaptic input from the pyramidal cell to the interneuron (red arrows). Two such putative contacts were identified. The lower bouton and contact site is directly above the dendrite and not visible on this micrograph. Vertical scale bars: (B), 20 mV; (C), 20 mV; (D) EPSPs, 2 mV; spike, 20 mV; (E) spike, 20 mV; IPSP, 1 mV. Horizontal scale bars: (A), 100 _m; (B), 40 ms; (C), 2 ms; (D), 20 ms; (E), 50 ms; (F) left, 5 _m; right, 2.5 _m.","p925, Fig. 6","Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity","Neuron",2008,18367092,0,NULL,NULL,NULL,NULL
1000547,4069,"CA1 O-LM",4000,"CA1 Pyr","O-LM cells {CA1 CA1 O-LM} (no. 1, Fig. 1) In the CA1 area, O-LM [oriens--lacunosum-moleculare] cells {CA1 CA1 O-LM} are located in stratum oriens and have horizontally extending dendrites with hairy spines on distal segments. The axons of O-LM cells give few collaterals in stratum oriens but project mainly through the strata pyramidale and radiatum to branch heavily in stratum lacunosum-moleculare (Ramon y Cajal, 1893; McBain et al.,1994; Sik et al., 1995; Maccaferri & McBain, 1996), matching the glutamatergic input from the entorhinal cortex and thalamus. The axons give some collaterals also in the deep stratum radiatum but do not cross the fissure to the dentate gyrus (Fig. 2F). The main glutamatergic input to O-LM cells {CA1 CA1 O-LM} arises from local CA1 pyramidal cells {CA1 CA1 Pyramidal} (Blasco-Ibanez & Freund, 1995) and O-LM cells in turn project to the apical tuft of CA1 pyramidal cells and other interneurons (Katona et al., 1999a; Maccaferri et al., 2000).","p948, left middle","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000548,4000,"CA1 Pyr",4069,"CA1 O-LM","O-LM cells {CA1 CA1 O-LM} (no. 1, Fig. 1) In the CA1 area, O-LM [oriens--lacunosum-moleculare] cells {CA1 CA1 O-LM} are located in stratum oriens and have horizontally extending dendrites with hairy spines on distal segments. The axons of O-LM cells give few collaterals in stratum oriens but project mainly through the strata pyramidale and radiatum to branch heavily in stratum lacunosum-moleculare (Ramon y Cajal, 1893; McBain et al.,1994; Sik et al., 1995; Maccaferri & McBain, 1996), matching the glutamatergic input from the entorhinal cortex and thalamus. The axons give some collaterals also in the deep stratum radiatum but do not cross the fissure to the dentate gyrus (Fig. 2F). The main glutamatergic input to O-LM cells {CA1 CA1 O-LM} arises from local CA1 pyramidal cells {CA1 CA1 Pyramidal} (Blasco-Ibanez & Freund, 1995) and O-LM cells in turn project to the apical tuft of CA1 pyramidal cells and other interneurons (Katona et al., 1999a; Maccaferri et al., 2000).","p948, left middle","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000549,4080,"CA1 Bistratified",4000,"CA1 Pyr","Fig. 2. Distinct spike timing of a [CA1] bistratified {CA1 CA1 Bistratified} and an O-LM[oriens--lacunosum-moleculare] {CA1 CA1 O-LM} interneuron during gamma oscillations. (A) Reconstruction of the neurobiotin-labelled soma and dendrites (red; shown complete) and axons (yellow; shown from only five 70-[micro]m-thick sections). A pyramidal cell is superimposed in blue for orientation (different scale and animal). (B) Light micrograph of putative dendritic self-innervation sites (red arrow in A). Black and red arrowheads mark axon and dendrite, respectively. (C) Electron micrograph showing a terminal of the same bistratified cell (black) making a type 2 synapse (arrow) with an oblique pyramidal dendrite (dend). (D) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The bistratified cell fires preferentially at the ascending gamma phase. (E) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown with troughs at 0 [degrees], 360 [degrees] and 720 [degrees]). (F) Reconstructions of the neurobiotin-labelled somata and dendrites (red; shown complete) and axons (yellow; shown from only 12 70-[micro]m-thick sections). (G) The neurobiotin-labelled O-LM cell {CA1 CA1 O-LM} is immunopositive for PV[parvalbumin], somatostatin and mGluR1a. (H) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The O-LM cell firing is not coupled to any particular gamma phase. (I) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown). SLM, stratum lacunosum moleculare; SR, stratum radiatum; SP, stratum pyramidale; SO, stratum oriens. Scale bars: A, 100 [micro]m; B, 10 [micro]m; C, 0.2 [micro]m; D, horizontal 0.05 s; vertical from top to bottom 2 mV, 0.2 mV, 0.2 mV; F, 100 [micro]m; G,10 [micro]m; H, horizontal 0.1 s; vertical from top to bottom 0.2 mV, 0.1 mV, 0.4 mV. Reproduced, with permission, from Tukker et al. (2007).","p949, Fig. 2","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000550,4080,"CA1 Bistratified",4000,"CA1 Pyr","The axonal arborization of bistratified cells {CA1 CA1 Bistratified} [CA1] (Buhl et al., 1994; Pawelzik et al., 1997) overlaps with the glutamatergic input from CA3 pyramidal cells in stratum radiatum and oriens (Fig. 2A). This two-layered axonal arrangement gives the cell its name. Bistratified cells make GABA[gamma aminobutyric-acid]ergic synapses with basal and oblique dendrites of CA1 pyramidal cells (Buhl et al., 1994; Maccaferri et al., 2000; Pawelzik et al., 2002; Klausberger et al., 2004). Their somata are mainly located in stratum pyramidale, but oriens-bistratified cells with somata and horizontally running dendrites in stratum oriens have also been reported (Maccaferri et al., 2000). The dendrites of bistratified cells in stratum pyramidale extend widely in the strata oriens and radiatum and form connexin36-containing gap junctions with other interneurons (Baude et al., 2007). In contrast to basket and axo-axonic cells, the dendrites of bistratified cells do not enter stratum lacunosum-moleculare but often bend back at the radiatum/lacunosum-moleculare border (Fig. 2A).","p949, left top","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4023,"CA1 Back Proj",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4080,"CA1 Bistratified",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4081,"CA1 Ivy",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4012,"CA1 NG 3000",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4069,"CA1 O-LM",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4006,"CA1 PPA 3200p",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4015,"CA1 SCA 2311",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
1000573,4035,"CA1 Trilam 0113p",4000,"CA1 Pyr","Fig. 1. At least 12 types of GABAergic interneuron divided into four cell groups innervate dendrites of CA1 pyramidal cells. The main termination of five glutamatergic inputs are indicated on the left. The somata and dendrites of interneurons innervating pyramidal cell (orange) dendrites are coloured according to four cell groups. Axons and the main synaptic terminations are yellow. Note the association of the output synapses of different interneuron types with either the Schaffer collateral/commissural or the entorhinal pathway termination zones. Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting.","p948, Figure 1","Klausberger T","GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus","European Journal of Neuroscience",2009,19735288,0,NULL,NULL,NULL,NULL
