Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neuron Type,Variable,Name of file containing figure,Reference_ID
"Attili et al., 2019",,,,31444616,4041,SR Hippocampo-subicular Projecting ENK+,x129,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4041-x129.jpeg,903354
"Attili et al., 2019",,,,31444616,4054,SR Radiatum Giant,x73,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4054-x73.jpeg,903318
"Attili et al., 2019",,,,31444616,4055,SO Oriens/Alveus,x111,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4055-x111.jpeg,903382
"Attili et al., 2019",,,,31444616,4056,SR IS LMR-R,x92,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4056-x92.jpeg,903326
"Attili et al., 2019",,,,31444616,4061,SR R-Receiving Apical-Targeting,x123,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4061-x123.jpeg,903348
"Attili et al., 2019",,,,31444616,4066,SR OR-LM,x115,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4066-x115.jpeg,903338
"Attili et al., 2019",,,,31444616,4068,SO Oriens-Bistratified Projecting,x113,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4068-x113.jpeg,903386
"Attili et al., 2019",,,,31444616,4069,SO O-LM,x108,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4069-x108.jpeg,903376
"Attili et al., 2019",,,,31444616,4076,SR Perforant-Path Associated QuadD,x118,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4076-x118.jpeg,903342
"Attili et al., 2019",,,,31444616,4078,SO Basket,x78,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4078-x78.jpeg,903364
"Attili et al., 2019",,,,31444616,4079,SO Basket CCK+,x80,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4079-x80.jpeg,903366
"Attili et al., 2019",,,,31444616,4079,SR Basket CCK+,x82,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4079-x82.jpeg,903320
"Attili et al., 2019",,,,31444616,4080,SO Bistratified,x85,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4080-x85.jpeg,903370
"Attili et al., 2019",,,,31444616,4081,SR Ivy,x101,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4081-x101.jpeg,903332
"Attili et al., 2019",,,,31444616,4081,SO Ivy,x99,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4081-x99.jpeg,903374
"Attili et al., 2019",,,,31444616,4083,SO Oriens-Bistratified,x112,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4083-x112.jpeg,903384
"Attili et al., 2019",,,,31444616,4084,SO Schaffer Collateral-Receiving R-Targeting,x126,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4084-x126.jpeg,903388
"Attili et al., 2019",,,,31444616,4084,SR Schaffer Collateral-Receiving R-Targeting,x127,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4084-x127.jpeg,903352
"Attili et al., 2019",,,,31444616,4087,SO O-LMR,x110,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4087-x110.jpeg,903380
"Attili et al., 2019",,,,31444616,4089,SO Recurrent O-LM,x109,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4089-x109.jpeg,903378
"Attili et al., 2019",,,,31444616,4093,SR IS RO-O,x98,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4093-x98.jpeg,903330
"Attili et al., 2019",,,,31444616,4094,SLM Cajal-Retzius,x71,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4094-x71.jpeg,903296
"Attili et al., 2019",,,,31444616,5001,Sub-EC SP,x133,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell5001-x133.jpeg,905364
"Attili et al., 2019",,,,31444616,5001,Sub-EC SP,x133,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell5001-x133a.jpeg,905370
"Attili et al., 2019",,,,31444616,5005,Sub-CA1 SP,x134,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell5005-x134.jpeg,905366
"Attili et al., 2019",,,,31444616,5005,Sub-CA1 SP,x134,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell5005-x134a.jpeg,905372
"Attili et al., 2019",,,,31444616,6002,MEC-L5 MEC LV Pyramidal,x184,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6002-x184.jpeg,905652
"Attili et al., 2019",,,,31444616,6003,MEC-L2 MEC LII Stellate,x149,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6003-x149.jpeg,905600
"Attili et al., 2019",,,,31444616,6005,MEC-L2 LI-II Pyramidal-Fan,x142,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6005-x142.jpeg,905594
"Attili et al., 2019",,,,31444616,6005,MEC-L1 LI-II Pyramidal-Fan,x143,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6005-x143.jpeg,905590
"Attili et al., 2019",,,,31444616,6005,LEC-L2 LI-II Pyramidal-Fan,x144,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6005-x144.jpeg,905544
"Attili et al., 2019",,,,31444616,6005,LEC-L1 LI-II Pyramidal-Fan,x145,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6005-x145.jpeg,905540
"Attili et al., 2019",,,,31444616,6006,MEC-L3 MEC LIII Complex Pyramidal,x159,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6006-x159.jpeg,905618
"Attili et al., 2019",,,,31444616,6007,LEC-L3 LEC LIII Complex Pyramidal,x158,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6007-x158.jpeg,905558
"Attili et al., 2019",,,,31444616,6008,MEC-L3 MEC LII-III Pyramidal-Multiform,x146,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6008-x146.jpeg,905610
"Attili et al., 2019",,,,31444616,6008,MEC-L2 MEC LII-III Pyramidal-Multiform,x147,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6008-x147.jpeg,905596
"Attili et al., 2019",,,,31444616,6017,MEC-L3 LIII Pyramidal,x156,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6017-x156.jpeg,905616
"Attili et al., 2019",,,,31444616,6017,LEC-L3 LIII Pyramidal,x157,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6017-x157.jpeg,905556
"Attili et al., 2019",,,,31444616,6018,MEC-L3 LIII Stellate,x163,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6018-x163.jpeg,905624
"Attili et al., 2019",,,,31444616,6018,LEC-L3 LIII Stellate,x164,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6018-x164.jpeg,905562
"Attili et al., 2019",,,,31444616,6019,MEC-L2 MEC LII Oblique Pyramidal,x148,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6019-x148.jpeg,905598
"Attili et al., 2019",,,,31444616,6021,MEC-L5 LV Deep Pyramidal,x182,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6021-x182.jpeg,905650
"Attili et al., 2019",,,,31444616,6021,LEC-L5 LV Deep Pyramidal,x183,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6021-x183.jpeg,905582
"Attili et al., 2019",,,,31444616,6023,MEC-L5 MEC LV Superficial Pyramidal,x185,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6023-x185.jpeg,905654
"Attili et al., 2019",,,,31444616,6024,MEC-L3 MEC LIII Bipolar Complex Pyramidal,x160,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6024-x160.jpeg,905620
"Attili et al., 2019",,,,31444616,6025,LEC-L3 LEC LIII Multipolar Principal,x154,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6025-x154.jpeg,905554
"Attili et al., 2019",,,,31444616,6031,MEC-L3 MEC LIII Multipolar Principal,x155,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6031-x155.jpeg,905614
"Attili et al., 2019",,,,31444616,6033,MEC-L5 MEC LV Multipolar-Pyramidal,x181,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6033-x181.jpeg,905648
"Attili et al., 2019",,,,31444616,6038,MEC-L3 MEC LIII Superficial Trilayered Interneuron,x199,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6038-x199.jpeg,905634
"Attili et al., 2019",,,,31444616,6040,MEC-L3 MEC LIII Superficial Multipolar Interneuron,x196,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6040-x196.jpeg,905630
"Attili et al., 2019",,,,31444616,6047,MEC-L3 MEC LIII Multipolar Interneuron,x195,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6047-x195.jpeg,905628
"Attili et al., 2019",,,,31444616,6048,MEC-L2 LII Axo-axonic,x189,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6048-x189.jpeg,905604
"Attili et al., 2019",,,,31444616,6048,LEC-L2 LII Axo-axonic,x190,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6048-x190.jpeg,905548
"Attili et al., 2019",,,,31444616,6049,LEC-L3 LEC LIII Multipolar Interneuron,x194,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6049-x194.jpeg,905566
"Attili et al., 2019",,,,31444616,6052,MEC-L6 MEC LV-VI Pyramidal-Polymorphic,x186,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6052-x186.jpeg,905660
"Attili et al., 2019",,,,31444616,6052,MEC-L5 MEC LV-VI Pyramidal-Polymorphic,x187,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6052-x187.jpeg,905656
"Attili et al., 2019",,,,31444616,6053,MEC-L2 LII Basket-Multipolar Interneuron,x192,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6053-x192.jpeg,905608
"Attili et al., 2019",,,,31444616,6053,LEC-L2 LII Basket-Multipolar Interneuron,x193,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6053-x193.jpeg,905550
"Attili et al., 2019",,,,31444616,6078,LEC-L6 LEC LVI Multipolar-Pyramidal,x188,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6078-x188.jpeg,905586
"Attili et al., 2019",,,,31444616,6082,MEC-L3 LII-III Pyramidal-Tripolar,x150,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6082-x150.jpeg,905612
"Attili et al., 2019",,,,31444616,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6082-x151.jpeg,905602
"Attili et al., 2019",,,,31444616,6082,LEC-L3 LII-III Pyramidal-Tripolar,x152,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6082-x152.jpeg,905552
"Attili et al., 2019",,,,31444616,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6082-x153.jpeg,905546
"Attili et al., 2019",,,,31444616,6085,MEC-L5 LIV-V Pyramidal-Horizontal,x171,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6085-x171.jpeg,905644
"Attili et al., 2019",,,,31444616,6085,MEC-L4 LIV-V Pyramidal-Horizontal,x172,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6085-x172.jpeg,905638
"Attili et al., 2019",,,,31444616,6085,LEC-L5 LIV-V Pyramidal-Horizontal,x173,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6085-x173.jpeg,905578
"Attili et al., 2019",,,,31444616,6085,LEC-L4 LIV-V Pyramidal-Horizontal,x174,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6085-x174.jpeg,905572
"Attili et al., 2019",,,,31444616,6086,MEC-L6 LIV-VI Deep Multipolar Principal,x175,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x175.jpeg,905658
"Attili et al., 2019",,,,31444616,6086,MEC-L5 LIV-VI Deep Multipolar Principal,x176,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x176.jpeg,905646
"Attili et al., 2019",,,,31444616,6086,MEC-L4 LIV-VI Deep Multipolar Principal,x177,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x177.jpeg,905640
"Attili et al., 2019",,,,31444616,6086,LEC-L6 LIV-VI Deep Multipolar Principal,x178,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x178.jpeg,905584
"Attili et al., 2019",,,,31444616,6086,LEC-L5 LIV-VI Deep Multipolar Principal,x179,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x179.jpeg,905580
"Attili et al., 2019",,,,31444616,6086,LEC-L4 LIV-VI Deep Multipolar Principal,x180,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6086-x180.jpeg,905574
"Attili et al., 2019",,,,31444616,6087,MEC-L3 LIII Pyramidal-Looking Interneuron,x197,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6087-x197.jpeg,905632
"Attili et al., 2019",,,,31444616,6087,LEC-L3 LIII Pyramidal-Looking Interneuron,x198,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6087-x198.jpeg,905568
"Attili et al., 2019",,,,31444616,6092,MEC-L3 LIII Pyramidal-Stellate,x161,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6092-x161.jpeg,905622
"Attili et al., 2019",,,,31444616,6092,LEC-L3 LIII Pyramidal-Stellate,x162,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6092-x162.jpeg,905560
"Attili et al., 2019",,,,31444616,6094,MEC-L2 LI-II Multipolar-Pyramidal,x138,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6094-x138.jpeg,905592
"Attili et al., 2019",,,,31444616,6094,MEC-L1 LI-II Multipolar-Pyramidal,x139,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6094-x139.jpeg,905588
"Attili et al., 2019",,,,31444616,6094,LEC-L2 LI-II Multipolar-Pyramidal,x140,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6094-x140.jpeg,905542
"Attili et al., 2019",,,,31444616,6094,LEC-L1 LI-II Multipolar-Pyramidal,x141,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6094-x141.jpeg,905538
"Attili et al., 2019",,,,31444616,6095,MEC-L5 LIII-V Bipolar Pyramidal,x165,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6095-x165.jpeg,905642
"Attili et al., 2019",,,,31444616,6095,MEC-L4 LIII-V Bipolar Pyramidal,x166,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6095-x166.jpeg,905636
"Attili et al., 2019",,,,31444616,6095,MEC-L3 LIII-V Bipolar Pyramidal,x167,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell6095-x167.jpeg,905626
