Hippocampome Type,Unique ID,Supertype ID,Hippocampome Supertype,Cell Counts,Theta Phase,Theta Error,Theta Error Type,Theta N,MVL,MVL Error,MVL Error Type,MVL N,MVL category,Peak correction,LFP site,Shift to CA1:SP,Phase-CA1 (peak 0 deg),Phase-CA1 category,Gamma Phase,Gamma Error,Gamma Error Type,Gamma N,Gamma Peak,Epsilon Phase,Epsilon Error,Epsilon Error Type,Epsilon N,Epsilon Peak,Ripple Phase,Ripple Error,Ripple Error Type,Ripple N,Ripple Peak,SWR Ratio,SWR Ratio Error,SWR Ratio Error Type,SWR Ratio N,SWR Ratio category,Run/Stop Ratio,DS Ratio,DS Ratio Error,DS Ratio Error Type,DS Ratio N,Firing Rate,Firing Rate Error,Firing Rate Error Type,Firing Rate N,Firing Rate Rank,Firing Rate (non-baseline),Firing Rate Error (non-baseline),Firing Rate Error Type (non-baseline),Firing Rate N (non-baseline),Firing Rate Rank (non-baseline),Vrest (mV),Vrest Error (mV),Vrest Error Type,Vrest N,Tau (ms),Tau Error (ms),Tau Error Type,Tau N,APthresh (mV),APthresh Error (mV),APthresh Error Type,APthresh N,fAHP (mV),fAHP Error (mV),fAHP Error Type,fAHP N,APpeak-trough (ms),APpeak-trough Error (ms),APpeak-trough Error Type,APpeak-trough N,Authors,Title,Journal/Book,Year,PMID_or_ISBN,pmid_isbn_page,Figure/Table,Recording assignments,Recording_method,Species,Strain,Gender,Age,Age_type,Behavioral status,Data Mining Method,Comments,Metadata code,Metadata rank,Reference ID,
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,0.245879678,0.10178897,SD,3,directed,0,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 2 (MVL mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000128679020200""",1000128679020200
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,2.007936508,1.812706057,SD,3,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 2 (SWR ratio mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000108679020200""",1000108679020200
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,6.092592593,5.015510921,SD,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 2 (DS ratio mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000110679020200""",1000110679020200
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.919290811,0.78432922,SD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 0 (FR basal mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000111679020300""",1000111679020300
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.5,18,SD,3,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (Vrest mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000123679020100""",1000123679020100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,13.3,SD,3,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (Tau mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000124679020100""",1000124679020100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.1,SD,3,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (APthresh mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000125679020100""",1000125679020100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,3.52,SD,3,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (fAHP mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000126679020100""",1000126679020100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.21,SD,3,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (APpeak-trough mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000127679020100""",1000127679020100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,257.5710511,,,1,0.064280213,,,1,uniform,180,DG:SM/H,-170,-92.4289489,trough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Xiaomin Zhang, Alois Schlögl, Peter Jonas",Selective Routing of Spatial Information Flow from Input to Output in Hippocampal Granule Cells,Neuron,2020,32763145,0,Fig 1I (theta mean without error)@,1 whole-cell patch-clamp recorded cell assigned to 1 Hippocampome type,whole-cell patch clamp,mice,C57BL/6,male and female,35-63 d old,young adult,head-fixed awake,PlotDigitizer,identified from Fig 1C,mWYB2,6,"""1000101314510109""",1000101314510109
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,180,DG:SM/H,-170,,,164.104732,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Xiaomin Zhang, Alois Schlögl, Peter Jonas",Selective Routing of Spatial Information Flow from Input to Output in Hippocampal Granule Cells,Neuron,2020,32763145,0,Fig 1I (gamma mean without error)@,1 whole-cell patch-clamp recorded cell assigned to 1 Hippocampome type,whole-cell patch clamp,mice,C57BL/6,male and female,35-63 d old,young adult,head-fixed awake,PlotDigitizer,identified from Fig 1C,mWYB2,6,"""1000105314510109""",1000105314510109
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,-161.6076984,39.83478806,SD,488,0.824665038,0.579341585,SD,488,directed,-360,DG:SM/H,-170,28.39230157,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2C (theta mean)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1002105282410202""",1002105282410202
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,0,DG:SM/H,-170,,,150.25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2B (gamma)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1002101282410203""",1002101282410203
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83809525,0.68809525,SD,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR wake)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1002111282410201""",1002111282410201
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93333334,0.64285716,SD,NA,10,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR non-REM@),optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,sleep,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1002112282410201""",1002112282410201
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.554762,SD,NA,9,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR REM@),optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,sleep,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1002113282410201""",1002113282410201
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,339,,,1,,,,,,360,CA1:SP,0,-21,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,('I051115' theta)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002101679020200""",1002101679020200
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,0.330917341,,,1,directed,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,('I051115' MVL)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002128679020200""",1002128679020200
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,('I051115' SWR ratio)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002108679020200""",1002108679020200
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,('I051115' DS ratio)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002110679020200""",1002110679020200
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999059266,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,('I051115' FR basal)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002111679020300""",1002111679020300
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.6,,,1,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (Vrest)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002123679020100""",1002123679020100
DG (e)0103 Mossy,1002,S020201,Glutamatergic MC:Mossy:DG,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,1,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 1 (Tau)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1002124679020100""",1002124679020100
