Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,Interpretation notes figures,New?,Notes,copied to portal folder
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1008,Amaral-Lavenex-2007-37-THB-Fig17-DG_3000_MOPP_NGF.jpeg,figure,611666,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1002,Amaral-Lavenex-2007-37-THB-Fig18.jpeg,figure,611684,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,6003,Amaral-Lavenex-2007-37-THB-Fig19.jpeg,figure,611690,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex-2007-37-THB-Fig22.jpeg,figure,611698,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,2000,Amaral-Lavenex-2007-37-THB-Fig24.jpeg,figure,611714,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,3000,Amaral-Lavenex-2007-37-THB-Fig25.jpeg,figure,611716,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4000,Amaral-Lavenex-2007-37-THB-Fig26.jpeg,figure,611720,1,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4035,Amaral-Lavenex-2007-37-THB-Fig28-CA1_0113p-SUB_111_TH-ORP_DP_OR.jpeg,figure,611730,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4080,Amaral-Lavenex-2007-37-THB-Fig28-CA1_0333_BiC.jpeg,figure,611728,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4069,Amaral-Lavenex-2007-37-THB-Fig28-CA1_1002_O-LM.jpeg,figure,611732,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4000,Amaral-Lavenex-2007-37-THB-Fig28-CA1_2223p_PC.jpeg,figure,611722,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4036,Amaral-Lavenex-2007-37-THB-Fig28-CA1_2232_AA.jpeg,figure,611724,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4078,Amaral-Lavenex-2007-37-THB-Fig28-CA1_2232_BC.jpeg,figure,611726,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4079,Amaral-Lavenex-2007-37-THB-Fig28-CA1_2232_BC.jpeg,figure,611726,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,2000,Amaral-Lavenex-2007-37-THB-Fig28-CA3_23223p_PCab.jpeg,figure,611734,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,6082,Amaral-Lavenex-2007-37-THB-Fig38B.jpeg,figure,611772,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1013,Amaral-Lavenex-2007-3-ProgBrainRes-Fig10.jpeg,figure,612602,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig4.jpeg,figure,612595,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig5.jpeg,figure,612597,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1035,Amaral-Lavenex-2007-3-ProgBrainRes-Fig6-DG_2232_basket.jpeg,figure,612598,,,1,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1035,Amaral-Lavenex-2007-3-ProgBrainRes-Fig7.jpeg,figure,612599,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig8-DG_0103_mossy.jpeg,figure,612600,,,1,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig9.jpeg,figure,612601,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Plate1.4.jpeg,figure,612603,,,,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1A.jpeg,figure,612053,,,,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig2B-DG_3000_MOPP.jpeg,figure,612054,,,1,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1007,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig2B-DG_3000_MOPP.jpeg,figure,630376,,,1,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1007,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig2C.jpeg,figure,630016,,,1,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig6D-DG_3000_MOPP_NGF.jpeg,figure,612055,,,1,,
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig6E-DG_3000_MOPP_NGF.jpeg,figure,612055,,,1,,
"Bartos M, Vida I, Frotscher M, Geiger JRP, Jonas P. ",Rapid signaling at inhibitory synapses in a dentate gyrus interneuron network.,Journal of Neuroscience,2001,11306622,1035,Bartos-Jonas-2001-2687-JNeurosci-Fig3.jpeg,figure,612058,1,,1,,
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1035,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig1A.jpeg,figure,3400,,,1,,
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1004,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig2A-DG_3303_TML.jpeg,figure,3415,1,,1,,
"Beed P, Bendels MH, Wiegand HF, Leibold C, Johenning FW, Schmitz D.","Analysis of Excitatory Microcircuitryin the Medial Entorhinal Cortex RevealsCell-Type-Specific Differences",Neuron.,2010,21172609,6003,Beed-Schmitz-2010-1059-Neuron-Fig1B.jpeg,figure,612059,,,1,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2000,Bernard-Wheal-1994-497-Hippocampus-AppA2.jpeg,table,611034,,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2004,Bernard-Wheal-1994-497-Hippocampus-AppA2.jpeg,table,611034,,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2000,Bernard-Wheal-1994-497-Hippocampus-AppA3.jpeg,table,611035,,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2004,Bernard-Wheal-1994-497-Hippocampus-AppA3.jpeg,table,611035,,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,4036,Bernard-Wheal-1994-497-Hippocampus-AppA6.jpeg,table,611036,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig1.jpeg,figure,612006,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52AB.jpeg,figure,612002,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate53AB.jpeg,figure,612003,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate56A.jpeg,figure,612004,,,,,
"Blasco-Ib__ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ÃÂ__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig1.jpeg,figure,611044,,,,,
"Buckmaster PS, Dudek FE. ",In vivo intracellular analysis of granule cell axon reorganization in epileptic rats,Journal of Neurophysiology,1999,10036272,1000,Buckmaster-Dudek-1999-712-JNeurophysiol-Fig3-1000.jpeg,figure,612624,,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig2A-B.jpeg,figure,611054,,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig4A-B-DG_0103_mossy.jpeg,figure,611055,,,1,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1043,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig5.jpeg,figure,612691,,,1, ,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig6.jpeg,figure,611056,,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig7A-B-C-DG_0103_mossy.jpeg,figure,611057,1,,1,, 
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig8A-B-DG_0103_mossy.jpeg,figure,611058,,,1,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig1A.jpeg,figure,611077,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig1B.jpeg,figure,611077,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig2A-B-C.jpeg,figure,611078,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig3.jpeg,figure,611081,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig7.jpeg,figure,611090,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Tab3.jpeg,table,611082,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Tab4.jpeg,table,611089,,,,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4078,Buhl-Somogyi-1994-823-Nature-Fig1-CA1_2232_BC.jpeg,figure,612068,1,,1,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4080,Buhl-Somogyi-1994-823-Nature-Fig2-CA1_0333_Bistratified_Ivy.jpeg,figure,612069,,,1,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4078,Buhl-Somogyi-1994-823-Nature-Tab1.jpeg,table,612066,,,,,
"Bullis JB, Jones TD, Poolos NP",Reversed somatodendritic I(h) gradient in a class of rat hippocampal neurons with pyramidal morphology,Journal of Physiology,2007,17185334,4054,Bullis-Poolos-2007-579-JPhysiol-Fig1-CA1_2201_PLP-RGC.jpeg,figure,612075,,,1,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6053,Canto-Witter-2008-381243-NeuralPlast-Fig2A-EC_230000_MPI-BC_II.jpeg,figure,630129,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6005,Canto-Witter-2008-381243-NeuralPlast-Fig2A-EC_331000p_DG_1000_SUB_101_excitatory.jpeg,figure,630129,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6082,Canto-Witter-2008-381243-NeuralPlast-Fig2A-EC_333000p_DG_1000_SUB_111_excitatory-stellate_II.jpeg,figure,630129,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6086,Canto-Witter-2008-381243-NeuralPlast-Fig2B-EC_000333p_MP_V-VI.jpeg,figure,612089,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6021,Canto-Witter-2008-381243-NeuralPlast-Fig2B-EC_220033_PC_V_sm.jpeg,figure,612089,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6085,Canto-Witter-2008-381243-NeuralPlast-Fig2B-EC_220233p_HC_V.jpeg,figure,612089,,,,,
"Canto CB, Wouterlood FG, Witter MP",What does the anatomical organization of the entorhinal cortex tell us?,Neural Plasticity,2008,18769556,6095,Canto-Witter-2008-381243-NeuralPlast-Fig2B-EC_223331_MF_III-IV-V.jpeg,figure,612089,,,,,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6086,Canto-Witter-2011-1256-Hippocampus-LEC-Fig10A_No1.jpeg,figure,611962,,,,#1,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6078,Canto-Witter-2011-1256-Hippocampus-LEC-Fig10A_No2.jpeg,figure,611962,,,,#2,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6005,Canto-Witter-2011-1256-Hippocampus-LEC-Fig2A_No1.jpeg,figure,611940,,,,#1,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6094,Canto-Witter-2011-1256-Hippocampus-LEC-Fig2A_No2.jpeg,figure,611940,,,,#2,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6082,Canto-Witter-2011-1256-Hippocampus-LEC-Fig7A_No1.jpeg,figure,611958,,,,#1,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6094,Canto-Witter-2011-1256-Hippocampus-LEC-Fig7A_No2_3_4.jpeg,figure,611958,,,,"#2, #3, #4",
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6005,Canto-Witter-2011-1256-Hippocampus-LEC-Fig7A_No5.jpeg,figure,611958,,,,#5,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,6008,Canto-Witter-2011-1256-Hippocampus-LEC-Fig7A_No6.jpeg,figure,611958,,,,#6,
