Authors,Titile,Journal/Book,Year,PMID/ISBN,Cell Identifier,Parameter,Parameter_ID,Name of file containing figure,Figure/Table,Quote reference id,Interpretation notes figures,Comments,Inference_flag
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,CCK,11,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4091-CCK.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,CR,2,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4091-CR.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,PV,3,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4091-PV.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,VIP,15,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4091-VIP.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,CB,1,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4093-CB.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,CCK,11,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4093-CCK.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,CR,2,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4093-CR.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,PV,3,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4093-PV.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,VIP,15,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4093-VIP.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4021-VIP.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,CR,2,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4021-CR.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4056,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4056-VIP.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4056,CR,2,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4056-CR.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4020-VIP.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,CR,2,Acsady-Freund-1996-299-Neurosci-Fig3-Cell4020-CR.jpeg,marker_table,510001,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4020-VIP.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,CR,2,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4020-CR.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4022-VIP.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,CR,2,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4022-CR.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4021-VIP.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,CR,2,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4021-CR.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4093-VIP.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4093,CR,2,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4093-CR.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,VIP,15,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4091-VIP.jpeg,marker_table,510002,,,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,CR,2,Acsady-Freund-1996-299-Neurosci-Fig2-Cell4091-CR.jpeg,marker_table,510002,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,1000,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig1-Cell1000-SPR.jpeg,marker_figure,161261,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,2004,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig1-Cell2004-SPR.jpeg,marker_figure,161261,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,2000,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig2-Cell2000-SPR.jpeg,marker_figure,161264,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,3000,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig2-Cell3000-SPR.jpeg,marker_figure,161264,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4000,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig2-Cell4000-SPR.jpeg,marker_figure,161264,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,1000,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Fig3-Cell1000-SPR.jpeg,marker_figure,161266,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,1009,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell1009-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,1036,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell1036-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4003,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4003-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4004,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4004-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4015,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4015-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4028,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4028-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4033,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4033-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4036,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4036-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4038,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4038-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4069,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4069-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4078,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4078-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4079,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4079-SPR.jpeg,marker_table,161262,,,0
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF.",Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,J Comp Neurol,1997,9034894,4080,Sub P Rec,6,Acsady-Freund-1997-320-JofCompNeurology-Tab2-Cell4080-SPR.jpeg,marker_table,161262,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,2000,CCK,11,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell2000-CCK.jpeg,marker_table,161708,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,2000,NPY,13,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell2000-NPY.jpeg,marker_table,161709,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,2000,SOM,14,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell2000-SOM.jpeg,marker_table,161712,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,2000,GAT-1,33,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell2000-T1.jpeg,marker_table,161710,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,2000,VIP,15,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell2000-VIP.jpeg,marker_table,161711,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,CCK,11,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-CCK.jpeg,marker_table,161708,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,,,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-CTRH.jpeg,marker_table,161708,,Corticotropin-releasing hormone,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,NKB,28,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-NPB.jpeg,marker_table,161708,,Neuropeptide B,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,NPY,13,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-NPY.jpeg,marker_table,161708,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,ENK,12,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-PPENK1.jpeg,marker_table,161708,,Preproenkephalin 1,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,SOM,14,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-SOM.jpeg,marker_table,161708,,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,GAT-1,33,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-T1.jpeg,marker_table,161708,,Tachykinin 1,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T.","Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and retina.",Nutrition,2008,18662864,4000,VIP,15,Akiyama-Naito-2008-918-Nutrition-Tab1-Cell4000-VIP.jpeg,marker_table,161708,,,0
"Alcantara S, Ruiz M, D'Arcangelo G, Ezan F, de Lecea L, Curran T, Sotelo C, Soriano E.",Regional and cellular patterns of reelin mRNA expression in the forebrain of the developing and adult mouse.,J Neurosci,1998,9742148,1000,RLN,20,Alcantara-Soriano-1998-7779-v18-n19-JNeurosci-Fig3-Cell1000-RLN.jpeg,marker_figure,162030,,,0
"Alcantara S, Ruiz M, D'Arcangelo G, Ezan F, de Lecea L, Curran T, Sotelo C, Soriano E.",Regional and cellular patterns of reelin mRNA expression in the forebrain of the developing and adult mouse.,J Neurosci,1998,9742148,2004,RLN,20,Alcantara-Soriano-1998-7779-v18-n19-JNeurosci-Fig3-Cell2004-RLN.jpeg,marker_figure,162030,,,0
"Alcantara S, Ruiz M, D'Arcangelo G, Ezan F, de Lecea L, Curran T, Sotelo C, Soriano E.",Regional and cellular patterns of reelin mRNA expression in the forebrain of the developing and adult mouse.,J Neurosci,1998,9742148,4000,RLN,20,Alcantara-Soriano-1998-7779-v18-n19-JNeurosci-Fig3-Cell4000-RLN.jpeg,marker_figure,162030,,,0
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M.","Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",Exp Neurol,2008,18177862,1000,RLN,20,Antonucci-Caleo-2008-388-ExpNeurol-Fig8-Cell1000-RLN.jpeg,marker_figure,161706,,,0
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M.","Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",Exp Neurol,2008,18177862,2000,RLN,20,Antonucci-Caleo-2008-388-ExpNeurol-Fig8-Cell2000-RLN.jpeg,marker_figure,161706,,,0
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M.","Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",Exp Neurol,2008,18177862,2004,RLN,20,Antonucci-Caleo-2008-388-ExpNeurol-Fig8-Cell2004-RLN.jpeg,marker_figure,161706,,,0
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M.","Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",Exp Neurol,2008,18177862,3000,RLN,20,Antonucci-Caleo-2008-388-ExpNeurol-Fig8-Cell3000-RLN.jpeg,marker_figure,161706,,,0
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M.","Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",Exp Neurol,2008,18177862,4000,RLN,20,Antonucci-Caleo-2008-388-ExpNeurol-Fig8-Cell4000-RLN.jpeg,marker_figure,161706,,,0
"Armstrong C, Szabadics J, TamÃÂ s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,nNOS,19,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1D-J-Cell1008-nNOS.jpeg,marker_figure,161054,,,0
"Armstrong C, Szabadics J, TamÃÂ s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,NPY,13,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1D-J-Cell1008-NPY.jpeg,marker_figure,161054,,,0
"Armstrong C, Szabadics J, TamÃÂ s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,RLN,20,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1D-J-Cell1008-RLN.jpeg,marker_figure,161054,,,0
"Baude A, Bleasdale C, Dalezios Y, Somogyi P, Klausberger T.","Immunoreactivity for the GABAA receptor alpha1 subunit, somatostatin and Connexin36 distinguishes axoaxonic, basket, and bistratified interneurons of the rat hippocampus.",Cereb Cortex,2007,17122364,4036,PV,3,Baude-Klausberger-2007-2094-CerebCortex-Fig6-Cell4036-PV.jpeg,marker_figure,161234,,,0
