Authors,Title,Journal/Book,Year,PMID/ISBN,Unique ID,Phase parameter,Phase parameter ID,Name of file containing figure,FTQ ID,Figure/Table,Reference ID,reference_id
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O53a-Cell4000-theta.jpeg,10712,figure,4000101582810712,"""4000101582810712"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4036,firing rate SWR,116,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig6B-Cell4036-FR_SWR.jpeg,10602,figure,4036116582810602,"""4036116582810602"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4036,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF35c-Cell4036-theta.jpeg,10702,figure,4036101582810702,"""4036101582810702"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4036,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF31a-Cell4036-theta.jpeg,10704,figure,4036101582810704,"""4036101582810704"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,firing rate SWR,116,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig6B-Cell4078-FR_SWR.jpeg,10602,figure,4078116582810602,"""4078116582810602"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O43b-Cell4078-theta.jpeg,10702,figure,4078101582810702,"""4078101582810702"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF40b-Cell4078-theta.jpeg,10704,figure,4078101582810704,"""4078101582810704"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_S03-Cell4078-theta.jpeg,10705,figure,4078101582810705,"""4078101582810705"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF29a-Cell4078-theta.jpeg,10706,figure,4078101582810706,"""4078101582810706"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF15a-Cell4078-theta.jpeg,10707,figure,4078101582810707,"""4078101582810707"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4078,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O54a-Cell4078-theta.jpeg,10708,figure,4078101582810708,"""4078101582810708"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,firing rate SWR,116,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig6B-Cell4069-FR_SWR.jpeg,10602,figure,4069116582810602,"""4069116582810602"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF16b-Cell4069-theta.jpeg,10702,figure,4069101582810702,"""4069101582810702"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF26a-Cell4069-theta.jpeg,10704,figure,4069101582810704,"""4069101582810704"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O33b-Cell4069-theta.jpeg,10705,figure,4069101582810705,"""4069101582810705"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O22b-Cell4069-theta.jpeg,10706,figure,4069101582810706,"""4069101582810706"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_SL15b-Cell4069-theta.jpeg,10707,figure,4069101582810707,"""4069101582810707"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4069,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF12b-Cell4069-theta.jpeg,10708,figure,4069101582810708,"""4069101582810708"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,theta,101,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-theta.jpeg,20300,table,4081101709220300,"""4081101709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,theta,101,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-theta.jpeg,20301,table,4081101709220301,"""4081101709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,theta,101,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T134a-Cell4081-theta.jpeg,20302,table,4081101709220302,"""4081101709220302"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,theta,101,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-theta.jpeg,20303,table,4081101709220303,"""4081101709220303"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,gamma,105,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-gamma.jpeg,20300,table,4081105709220300,"""4081105709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,gamma,105,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-gamma.jpeg,20301,table,4081105709220301,"""4081105709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,gamma,105,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T134a-Cell4081-gamma.jpeg,20302,table,4081105709220302,"""4081105709220302"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,gamma,105,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-gamma.jpeg,20303,table,4081105709220303,"""4081105709220303"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,SWR ratio,108,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-SWR_ratio.jpeg,20300,table,4081108709220300,"""4081108709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,SWR ratio,108,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-SWR_ratio.jpeg,20301,table,4081108709220301,"""4081108709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,SWR ratio,108,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-SWR_ratio.jpeg,20302,table,4081108709220302,"""4081108709220302"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate theta,114,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-FR_theta.jpeg,20300,table,4081114709220300,"""4081114709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate theta,114,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-FR_theta.jpeg,20301,table,4081114709220301,"""4081114709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate theta,114,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T134a-Cell4081-FR_theta.jpeg,20302,table,4081114709220302,"""4081114709220302"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate theta,114,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-FR_theta.jpeg,20303,table,4081114709220303,"""4081114709220303"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate SWR,116,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-FR_SWR.jpeg,20300,table,4081116709220300,"""4081116709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate SWR,116,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-FR_SWR.jpeg,20301,table,4081116709220301,"""4081116709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate SWR,116,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T134a-Cell4081-FR_SWR.jpeg,20302,table,4081116709220302,"""4081116709220302"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate SWR,116,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-FR_SWR.jpeg,20303,table,4081116709220303,"""4081116709220303"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate non-theta - non-ripple,111,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_P2a-Cell4081-FR-nontheta-nonripple.jpeg,20300,table,4081111709220300,"""4081111709220300"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate non-theta - non-ripple,111,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T98e-Cell4081-FR_nontheta-nonripple.jpeg,20301,table,4081111709220301,"""4081111709220301"""
"Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",Neuron,2008,18367092,4081,firing rate non-theta - non-ripple,111,Fuentealba-Klausberger-2008-917-v57-Neuron-TabS3_T140b-Cell4081-FR_nontheta-nonripple.jpeg,20302,table,4081111709220302,"""4081111709220302"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4116,theta,101,Fuentealba-Somogyi-2010-1595-JNeurosci-Tab2-Cell4116-theta.jpeg,20200,table,4116101017020200,"""4116101017020200"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4078,theta,101,Fuentealba-Somogyi-2010-1595-v30-n5-JNeurosci-Tab2_P57b-Cell4078-theta.jpeg,20200,table,4078101017020200,"""4078101017020200"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4078,firing rate theta,114,Fuentealba-Somogyi-2010-1595-v30-n5-JNeurosci-Tab2_P57b-Cell4078-FR_theta.jpeg,20201,table,4078114017020201,"""4078114017020201"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4078,firing rate SWR,116,Fuentealba-Somogyi-2010-1595-v30-n5-JNeurosci-Tab2_P57b-Cell4078_FR_SWR.jpeg,20202,table,4078116017020202,"""4078116017020202"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4079,theta,101,Fuentealba-Somogyi-2010-1595-v30-n5-JNeurosci-Tab2_P75b-Cell4079-theta.jpeg,20200,table,4079101017020200,"""4079101017020200"""
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,Journal of Neuroscience,2010,20130170,4079,firing rate theta,114,Fuentealba-Somogyi-2010-1595-v30-n5-JNeurosci-Tab2_P75b-Cell4079-FR_theta.jpeg,20201,table,4079114017020201,"""4079114017020201"""
