Original Spreadsheet Row,Subregion,Cell type name,Unique ID,PMID,Species,Method,Raw temperature,Room/body temperature,Vrest,Vrest_Rep Value?,Vrest_> Value?,Vrest_Statistics String,Vrest_Statistical Method,Vrest_n,Vrest_Page Location,Vrest_Notes,Vrest_Orig ID,Rin,Rin_Rep Value?,Rin_> Value?,Rin_Statistics String,Rin_Statistical Method,Rin_n,Rin_Page Location,Rin_Notes,Rin_Orig ID,tau,tau_Rep Value?,tau_> Value?,tau_Statistics String,tau_Statistical Method,tau_n,tau_Page Location,tau_Notes,tau_Orig ID,Vthresh,Vthresh_Rep Value?,Vthresh_> Value?,Vthresh_Statistics String,Vthresh_Statistical Method,Vthresh_n,Vthresh_Page Location,Vthresh_Notes,Vthresh_Orig ID,Fast AHP,Fast AHP_Rep Value?,Fast AHP_> Value?,Fast AHP_Statistics String,Fast AHP_Statistical Method,Fast AHP_n,Fast AHP_Page Location,Fast AHP_Notes,Fast AHP_Orig ID,AP ampl,AP ampl_Rep Value?,AP ampl_> Value?,AP ampl_Statistics String,AP ampl_Statistical Method,AP ampl_n,AP ampl_Page Location,AP ampl_Notes,AP ampl_Orig ID,AP width,AP width_Rep Value?,AP width_> Value?,AP width_Statistics String,AP width_Statistical Method,AP width_n,AP width_Page Location,AP width_Notes,AP width_Orig ID,Max F.R.,Max F.R._Rep Value?,Max F.R._> Value?,Max F.R._Statistics String,Max F.R._Statistical Method,Max F.R._n,Max F.R._i stim,Max F.R._t stim,Max F.R._Page Location,Max F.R._Notes,Max F.R._Orig ID,Slow AHP,Slow AHP_Rep Value?,Slow AHP_> Value?,Slow AHP_Statistics String,Slow AHP_Statistical Method,Slow AHP_n,Slow AHP_i stim,Slow AHP_t stim,Slow AHP_Page Location,Slow AHP_Notes,Slow AHP_Orig ID,Sag ratio,Sag ratio_Rep Value?,Sag ratio_> Value?,Sag ratio_Statistics String,Sag ratio_Statistical Method,Sag ratio_n,Sag ratio_i stim,Sag ratio_Page Location,Sag ratio_Notes,Sag ratio_Orig ID,Direct Link Ref ID,Indirect Link PMID,Indirect Link pg num,Indirect Link quote,Other Link PMID,Other Link pg num,Other Link quote,,,,,,,,,,
79,CA3,CA3 Radiatum (i)03000,2023,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CA3,MFA ORDEN (i)02332p,2035,10655521,r,p,33,b,-57,(*),,ÃÂ±5,SDEV,13,Tab1;  MFA,,2.03502E+14,225,(*),,ÃÂ±93,SDEV,13,Tab1;  MFA,,2.03503E+14,29.1,(*),,ÃÂ±14.6,SDEV,13,Tab1;  MFA,,2.03504E+14,20,(*),,,SingVal,1,Fig1Cb,,2.03505E+14,13.1,(*),,ÃÂ±1.9,SDEV,13,Tab1 MFA,,2.03506E+14,74,(*),,,SingVal,1,Tab1 MFA,"in hippocampome.org, the AP amplitude is defined as the peak relative to the threshold potential",2.03507E+14,0.72,(*),,ÃÂ±0.15,SDEV,13,Tab1 MFA,,2.03508E+14,500,(*),,[400_600],Range,13,[400_600],X,Tab1 MFA,,2.03509E+14,6.5,(*),,,SingVal,1,500,1000,Fig1Cb,,2.0351E+14,,,,,,,,,,,611474,,,,,,,,,,,,,,,,
82,CA3,Lucidum LAX (i)02310,2017,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CA3,Spiny Lucidum (i)01320p,2019,19339618,r,p,36,b,,,,,,,,,,253,(*),,ÃÂ±22,SEM,37,p.4244,,2.01903E+14,32.4,(*),,ÃÂ±2.7,SEM,37,p.4244,,2.01904E+14,24.8,(*),,[20_29.6],Range,2,Fig5AD,,2.01905E+14,12.9,(*),,,SingVal,1,Fig5A,,2.01906E+14,88.4,(*),,[83.6_93.2],Range,2,Fig5A,,2.01907E+14,,,,,,,,,,,,,,,,,,,,,8.35,(*),,[3.9_12.8],Range,2,X,1000,Fig5AD,,2.0191E+14,0.84,(*),,,SingVal,1,-100,p.4244," in hippocampome.org, the sag ratio is defined as the ratio of steady-state voltage (Vss) at the end of  hyperpolarizing current injection to maximum voltage transients (Vmin) .   ",2.01911E+14,611802,,,,,,,,,,,,,,,,
84,CA3,CA3 Trilaminar (i)01113p,2020,15486016,m,p,29,r,-61.2,(*),,ÃÂ±4.6,SEM,8,Tab1,,2.02002E+14,167.3,(*),,ÃÂ±20.9,SEM,8,Tab1,,2.02003E+14,16.9,(*),,ÃÂ±3.1,SEM,8,Tab1,,2.02004E+14,12,(*),,,SingVal,1,Fig3A,,2.02005E+14,30,(*),,,SingVal,1,Fig3C,,2.02006E+14,84,(*),,[69_99],Range,2,Fig3C,,2.02007E+14,0.57,(*),,ÃÂ±0.01,SEM,8,Tab1,,2.02008E+14,101.5,(*),,ÃÂ±22,SEM,8,X,X,Tab1,,2.02009E+14,0.1,(*),,,SingVal,1,300,500,Fig3Aii,,2.0201E+14,0.88,(*),,,SingVal,1,-200,Fig3A,,2.02011E+14,,,,,15486016,"p. 133, Fig2 B,C,D","Figure 2. Morphological characterization of O-LM and trilaminar interneurones in stratum oriens Reconstructions of representative biocytin-filled O-LM (A) and three trilaminar (BD) cells. The soma and dendrites are drawn in red, whereas the axons are in black. The horizontal dendritic branches from both interneurone types are restricted to the stratum oriens. The O-LM cell had an axon that crossed the pyramidal cell layer and extensively arborized in the stratum lacunosum-moleculare of the area CA3, while the axons from the trilaminar cell arborized in three layers (str. oriens, pyramidale and radiatum). Axon collaterals of the trilaminar cell in B extend horizontally (1.3 mm) throughout the CA1 area of the hippocampus, whereas a 1.5 mm long axonal branch of another trilaminar cell in D traverses the entire extent of the CA1 are a and reaches the subiculum. Note the axon initial segment (arrow) in the trilaminar interneurone (D, inset). Hippocampal layers are depicted schematically. CA3, CA3 area; CA1, CA1 area; Sub, subiculum; str. or., stratum oriens; str. pyr., stratum pyramidale; str. rad., stratum radiatum; str. l.-m., stratum lacunosum-moleculare.",,,,,,,,,,
85,CA3,CA3 IS Oriens (i)01113,2021,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CA3,CA3 Horizontal AA (i)00012,2047,20529124,m,p,22,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,(*),,,SingVal,1,Fig1A middle,,2.04705E+14,4.5,(*),,,SingVal,1,Fig1A middle,,2.04706E+14,61,(*),,,SingVal,1,Fig1A middle,,2.04707E+14,,,,,,,,,,,,,,,,,,,,,5.6,(*),,,SingVal,1,400,760,Fig1A middle,,2.0471E+14,0.75,(*),,,SingVal,1,-100,Fig1A middle,,2.04711E+14,612642,,,,,,,,,,,,,,,,
87,CA3,CA3 SO-SO (i)00003,2022,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,CA2,CA2 Pyramidal (e)2333p,3000,20510860,m,p,33,b,-75.3,(*),,ÃÂ±1.0,SDEV,19,Tab1,,3.00001E+14,76.2,(*),,ÃÂ±11.1,SDEV,19,Tab1,,3.00002E+14,,,,,,,,,,16,(*),,,SingVal,1,Fig1A,,3.00004E+14,7.8,(*),,,SingVal,1,Fig1A,,3.00005E+14,84.8,(*),,ÃÂ±1.6,SDEV,19,Tab1,,3.00006E+14,0.78,(*),,ÃÂ±0.02,SDEV,19,Tab1,,3.00007E+14,,,,,,,,,,,,1,(*),,,SingVal,1,400,1000,Fig1A,,3.00009E+14,0.92,(*),,,SingVal,1,-400,Fig1B,,3.0001E+14,,,,,20510860,"p.570, right",Neurons were identified according to specific electrophysiological properties summarized in Table 1.,,,,,,,,,,
92,CA2,CA2 Wide-Arbor BC (i)2232p,3007,17611285,r,e,None given,None given,-74.9,(*),,ÃÂ±5.6,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00701E+14,111.8,(*),,ÃÂ±36.7,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00702E+14,12.6,(*),,ÃÂ±4.2,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00703E+14,30,(*),,[26_34],Range,2,Fig5C CA2 basket cells with wide arbor,,3.00704E+14,19.5,(*),,ÃÂ±9,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00705E+14,65.5,(*),,ÃÂ±7.1,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00706E+14,0.6,(*),,ÃÂ±0.1,SDEV,10,Tab2 CA2 basket cells with wide arbor,,3.00707E+14,125,(*),1,,SingVal,1,600,417,Fig5C (inset);  CA2 basket cells with wide arbor,,3.00708E+14,7,(*),,,SingVal,1,600,417,Fig5C (inset);  CA2 basket cells with wide arbor,,3.00709E+14,0.55,(*),,,SingVal,1,-600,Fig5C CA2 basket cells with wide arbor,,3.0071E+14,80310,,,,,,,,,,,,,,,,
94,CA2,CA2 Basket (i)2232,3006,17611285,r,e,None given,None given,-71.2,(*),,ÃÂ±4,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00601E+14,77,(*),,ÃÂ±19.3,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00602E+14,8.2,(*),,ÃÂ±3.2,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00603E+14,22,(*),,[17_27],Range,2,Fig5B CA2 basket cells withnarrow arbor,,3.00604E+14,22,(*),,ÃÂ±5.1,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00605E+14,62.7,(*),,ÃÂ±9,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00606E+14,0.5,(*),,ÃÂ±0.1,SDEV,6,Tab2 CA2 basket cells with narrow arbor,,3.00607E+14,180,(*),1,,SingVal,1,600,430,Fig5B (inset);  CA2 basket cells with restricted arbor,,3.00608E+14,3,(*),,,SingVal,1,600,430,Fig5B (inset);  CA2 basket cells with restricted arbor,,3.00609E+14,0.99,(*),,,SingVal,1,-600,Fig5B CA2 basket cells with restricted arbor,,3.0061E+14,80275,,,,,,,,,,,,,,,,
96,CA2,CA2 Bistratified (i)0313p,3003,17611285,r,e,None given,None given,-72.7,(*),,ÃÂ±1.1,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00301E+14,83.3,(*),,ÃÂ±16.7,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00302E+14,13.7,(*),,ÃÂ±10,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00303E+14,49,(*),,[42_56],Range,2,Fig6B CA2 bistratified cells with narrow arbor,,3.00304E+14,14.4,(*),,ÃÂ±11.8,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00305E+14,65.2,(*),,ÃÂ±7.8,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00306E+14,0.4,(*),,ÃÂ±0.1,SDEV,3,Tab2 CA2 bistratified cells with narrow arbor,,3.00307E+14,,,,,,,,,,,,3.2,(*),,,SingVal,1,400,422,Fig6B CA2 bistratified cells with restricted arbor,,3.00309E+14,0.99,(*),,,SingVal,1,-800,Fig6B CA2 bistratified cells with restricted arbor,,3.0031E+14,80315,,,,,,,,,,,,,,,,
98,CA2,CA2 SP-SR (i)0302,3008,22431345,r,e,None given,None given,-71,(*),,ÃÂ±4.5,SDEV,8,Tab1 CA2 SP-SR interneurons,,3.00801E+14,82.6,(*),,ÃÂ±24.4,SDEV,8,Tab1 CA2 SP-SR interneurons,,3.00802E+14,12.7,(*),,ÃÂ±3.8,SDEV,8,Tab1 CA2 SP-SR interneurons,,3.00803E+14,19,(*),,,SingVal,1,Fig3A bottom ;  CA2 SP-SR interneuron,,3.00804E+14,11.5,(*),,,SingVal,1,Fig3A bottom ;  CA2 SP-SR interneuron,,3.00805E+14,67,(*),,,SingVal,1,Fig3A bottom ;  CA2 SP-SR interneuron,,3.00806E+14,0.5,(*),,ÃÂ±0.1,SDEV,8,Tab1 CA2 SP-SR interneurons,,3.00807E+14,160,(*),1,,SingVal,1,600,350,Fig3A top ;  CA2 SP-SR interneuron,,3.00808E+14,3.3,(*),,,SingVal,1,600,350,Fig3A top ;  CA2 SP-SR interneuron,,3.00809E+14,0.86,(*),,,SingVal,1,-1000,Fig3A bottom ;  CA2 SP-SR interneuron,,3.0081E+14,612637,,,,,,,,,,,,,,,,
100,CA1,CA1 Pyramidal (e)2223p,4000,11067982,r,p,35,b,-66.2,(**),,ÃÂ±1.1,SDEV,13,Tab1;  CA1,,4.00002E+14,55.4,(**),,ÃÂ±3.7,SDEV,13,Tab1;  CA1,,4.00003E+14,,,,,,,,,,20.2,(**),,,SingVal,1,Tab1," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.00005E+14,7.8,(**),,,SingVal,1,Fig5D,,4.00006E+14,85,(**),,,SingVal,1,Fig5D,,4.00007E+14,1,(*),,,SingVal,1,Fig6B,,4.00008E+14,,,,,,,,,,,,0.3,(**),,,SingVal,1,200,575,Fig5D,,4.0001E+14,0.56,(**),,,SingVal,1,-200,Fig5D,,4.00011E+14,,,,,11067982,p.2399,"Neurons filled with biocytin were processed for visualization using an avidin-horseradish peroxidase (HRP) 3,3-diaminobenzidine reaction. Morphological reconstructions were made using a camera lucida system, whereby each neuron was confirmed to be pyramidal. Morphological analyses were performed on a subset of reconstructed neurons that were examined closely to exclude cells that had obvious dendritic cuttings at the slice surface.",,,,,,,,,,
102,CA1,CA1 Pyramidal (e)2223p,4000,21697442,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,[3.5_4],Range,2,X,50,Fig1,,4.0001E+14,,,,,,,,,,,,,,,21697442,p.1571,"After recording, slices were fixed in 4% paraformaldehyde. One to two weeks after electrophysiological characterization, a diaminobenzidine reaction (DAB; kit from Sigma-Aldrich) was performed to stain biocytin-filled neurons for subsequent morphological characterization.",,,,,,,,,,
103,CA1,CA1 Pyramidal (e)2223p,4000,21389243,r,p,33,b,,,,,,,,,,80,(**),,ÃÂ±7.1,SEM,12,p.3882;  right,,4.00003E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,(**),,,SingVal,1,200,60,Fig1Bi,,4.00009E+14,,,,,,,,,,,,,,,,,,,,,,,,,,21389243,p.3881,"Identification of interneurons was established using biocytin in the intracellular recording solution and a post hoc analysis using immunofluorescence. Approximately 50% of CA1 interneuron recordings were done with an intracellular solution containing 0.6% biocytin (Invitrogen) by weight. After cells were allowed to passively fill with biocytin for approximately 1 h, they were fixed in 4% paraformaldehyde. To visualize neurons, slices were washed three times for 15 min in 0.1 M PBS and then incubated for 24 h in a solution containing 1 mg/mL streptavidin-Alexa 532 (Invitrogen) and 0.75 mL/100 mL Triton X-100 (Sigma) in PBS. After another three washes in PBS, slices were mounted on microscope slides in Mowiol. Cells were imaged using an Olympus FT1000 confocal microscope.",,,,,,,,,,
104,CA1,CA1 Pyramidal (e)2223p,4000,20421280,r,p,35.5,b,-62.4,(**),,ÃÂ±2.4,SDEV,21,p.2117;  right,,4.00001E+14,111,(**),,[91_131],Range,19,Tab1 PC,,4.00002E+14,16.5,(**),,[13.4_19.6],Range,19,Tab1 PC,,4.00003E+14,27,(**),,,SingVal,1,Fig1B;  PC,,4.00004E+14,6.8,(**),,,SingVal,1,Fig1B;  PC,,4.00005E+14,90,(**),,,SingVal,1,Fig1B;  PC,,4.00006E+14,,,,,,,,,,200,(**),1,,SingVal,1,200,900,Fig1B,,4.00008E+14,1.7,(**),,,SingVal,1,200,900,Fig1B,,4.00009E+14,0.74,(**),,,SingVal,1,-200,Fig2A,,4.0001E+14,,,,,20421280,"p.2114, Fig. 1A, PC","Figure 1. Light microscopic reconstructions and voltage responses to current steps of the investigated
cell types recorded in the stratum oriens of hippocampal CA1 region
A, example artistic renderings of light microscopic reconstructions of a pyramidal cell (PC), an oriens-radiatum cell
(O-R), an oriens-lacunosum-moleculare cell (OLM), and a fast spiking perisomatic region-targeting interneuron (FS
PTI). Dendrites are represented in black and axons in red. Dendritic spines are enhanced for visibility.",,,,,,,,,,
105,CA1,CA1 Pyramidal (e)2223p,4000,19675296,r,p,33,b,-64.6,(**),,ÃÂ±0.8,SDEV,20,Tab1 rat,,4.00002E+14,65.6,(**),,ÃÂ±4.4,SDEV,20,Tab1 rat,,4.00003E+14,22.4,(**),,ÃÂ±1.5,SDEV,20,Tab1 rat,,4.00004E+14,16.6,(**),,,SingVal,1,Fig5B rat,,4.00005E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19675296,"p.2292, Fig.2 A","Fig.2. Morphology of CA1 pyramidal neurons of rats and C57BL/6 and 129/SvEv mice. A: representative reconstructed neurons from each animal group.
Dotted lines represent the borders between stratum radiatum and stratum lacunosum-moleculare for each cell. ",,,,,,,,,,
106,CA1,CA1 Pyramidal (e)2223p,4000,19675296,m,p,33,b,-67.5,,,ÃÂ±0.6,SDEV,16,Tab1 mouse C57BL/6,,4.00002E+14,65.4,,,ÃÂ±1.7,SDEV,16,Tab1 mouse C57BL/6,,4.00003E+14,22.2,,,ÃÂ±0.9,SDEV,16,Tab1 mouse C57BL/6,,4.00004E+14,19,,,,SingVal,1,Fig5B mouse C57BL/6,,4.00005E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19675296,"p.2292, Fig.2 A","Fig.2. Morphology of CA1 pyramidal neurons of rats and C57BL/6 and 129/SvEv mice. A: representative reconstructed neurons from each animal group.
Dotted lines represent the borders between stratum radiatum and stratum lacunosum-moleculare for each cell. ",,,,,,,,,,
107,CA1,CA1 Pyramidal (e)2223p,4000,19675296,m,p,33,b,-62.8,,,ÃÂ±0.6,SDEV,14,Tab1 mouse 129/SvEv,,4.00002E+14,93.1,,,ÃÂ±6.7,SDEV,14,Tab1 mouse 129/SvEv,,4.00003E+14,26.1,,,ÃÂ±1.6,SDEV,14,Tab1 mouse 129/SvEv,,4.00004E+14,12.8,,,,SingVal,1,Fig5B mouse 129/SvEv,,4.00005E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19675296,"p.2292, Fig.2 A","Fig.2. Morphology of CA1 pyramidal neurons of rats and C57BL/6 and 129/SvEv mice. A: representative reconstructed neurons from each animal group.
Dotted lines represent the borders between stratum radiatum and stratum lacunosum-moleculare for each cell. ",,,,,,,,,,
108,CA1,CA1 Pyramidal (e)2223p,4000,10864941,r,p,22.5,r,-65,,,ÃÂ±1,SDEV,8,Tab1 PCs,,4.00001E+14,100,,,ÃÂ±24,SDEV,8,Tab1 PCs,,4.00002E+14,39,,,ÃÂ±6,SDEV,8,Tab1 PCs,,4.00003E+14,27,,,,SingVal,1,Tab1 PCs," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.00004E+14,8.5,,,,SingVal,1,Fig2Ab,,4.00005E+14,109,,,,SingVal,1,Tab1 PCs,,4.00006E+14,1.9,,,ÃÂ±0.01,SDEV,8,Tab1 PCs,,4.00007E+14,13,,1,,SingVal,1,750,X,Fig2Ab,,4.00008E+14,8.5,,,,SingVal,1,750,1600,Fig2Ab,,4.00009E+14,,,,,,,,,,,,,,,10864941,p.4845,"As seen in the photomicrograph of a typical PC (Fig. 1 A), the soma of the neuron is located in the stratum pyramidale. Its thick apical dendrite reaches into the stratum radiatum and lets off several secondary and tertiary thin dendritic processes, whereas its basilar dendrites branch extensively in the stratum oriens.",,,,,,,,,,
109,CA1,CA1 Pyramidal (e)2223p,4000,20510860,m,p,33,b,-71.9,,,ÃÂ±1.2,SDEV,14,Tab1,,4.00001E+14,107,,,ÃÂ±10.7,SDEV,14,Tab1,,4.00002E+14,,,,,,,,,,19.5,,,,SingVal,1,Fig1A,,4.00004E+14,7,,,,SingVal,1,Fig1A,,4.00005E+14,95.3,,,ÃÂ±1.8,SDEV,14,Tab1,,4.00006E+14,0.99,,,ÃÂ±0.03,SDEV,14,Tab1,,4.00007E+14,24,,1,,SingVal,1,150,1000,Fig1A,,4.00008E+14,0.55,,,,SingVal,1,150,1000,Fig1A,,4.00009E+14,0.78,,,,SingVal,1,-280,Tab1,,4.0001E+14,,,,,20510860,"p.570, right",Neurons were identified according to specific electrophysiological properties summarized in Table 1.,,,,,,,,,,
110,CA1,CA1 Cajal-Retzius (e)3000,4094,23536064,m,p,31,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,(**),,[24_32],Range,2,Fig8A,,4.09405E+14,28,(**),,[24_32],Range,2,Fig8A,,4.09406E+14,29,(**),,[20_38],Range,2,Fig8A,,4.09407E+14,,,,,,,,,,,,,,,,,,,,,0.2,(**),,,SingVal,1,40,989,Fig8A,,4.0941E+14,0.68,(**),,,SingVal,1,-15,Fig8A,,4.09411E+14,630430,,,,,,,,,,,,,,,,
111,CA1,CA1 Cajal-Retzius (e)3000,4094,25253849,m,p,32,b,-62,(*),,,SingVal,1,Fig2D,,4.09401E+14,,,,,,,,,,,,,,,,,,,29.5,(**),,[22_37],Range,2,Fig2D,,4.09404E+14,15.5,(**),,[12_19],Range,2,Fig2D,,4.09405E+14,29.15,(**),,[7.7_50.6],Range,2,Fig2D,,4.09406E+14,0.75,(*),,[0.72_0.78],Range,2,Fig2C,,4.09407E+14,62,(**),1,,SingVal,1,70,X,Fig2D,,4.09408E+14,1.6,(**),,,SingVal,1,70,1000,Fig2D,,4.09409E+14,0.61,(**),,,SingVal,1,-25,Fig2D,,4.0941E+14,630414,,,,,,,,,,,,,,,,
112,CA1,CA1 Cajal-Retzius (e)3000,4094,20547684,m,p,33.5,b,,,,,,,,,,1712,(*),,ÃÂ±108,SEM,30,p.2864;  left,,4.09403E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,(**),,ÃÂ±9,SEM,27,X,X,Fig.3F,,4.09409E+14,,,,,,,,,,,,,,,,,,,,,,,25253849,p.13020-13021,"When observed at high magnification, these cells had the typical characteristics of Cajal-Retzius cells (i.e., tadpole morphology with a single main dendrite and were also endowed with reelin immunoreactivity; Fig. 1; see also Marchionni et al., 2010, 2012; Quattrocolo and Maccaferri, 2013).",,,,,,,,,,,,,
115,CA1,CA1 Radiatum Giant (e)2201,4054,17185334,r,p,31,b,-66,(*),,ÃÂ±0.9,SEM,16,p.439;  top left,,4.05402E+14,56,(*),,ÃÂ±2.8,SEM,25,p.439;  top left,,4.05403E+14,,,,,,,,,,30,(*),,,SingVal,1,Fig5A,,4.05405E+14,6,(*),,,SingVal,1,Fig5A,,4.05406E+14,69,(*),,,SingVal,1,Fig5A,,4.05407E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,(*),,,SingVal,1,-300,Fig5A,,4.05411E+14,612075,,,,,,,,,,,,,,,,
116,CA1,CA1 Radiatum Giant (e)2201,4054,10864941,r,p,22.5,r,-63,,,ÃÂ±1,SDEV,7,Tab1 RGCs,,4.05401E+14,86,,,ÃÂ±11,SDEV,7,Tab1 RGCs,,4.05402E+14,50,(*),,ÃÂ±3,SDEV,7,Tab1 RGCs,,4.05403E+14,32,,,,SingVal,1,Tab1 RGCs," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.05404E+14,15.4,,,,SingVal,1,Fig2Ba,,4.05405E+14,107,,,,SingVal,1,Tab1 RGCs,,4.05406E+14,1.9,(*),,ÃÂ±0.09,SDEV,7,Tab1 RGCs,,4.05407E+14,26,(*),1,,SingVal,1,625,1600,Fig2Bb,,4.05408E+14,8.3,(*),,,SingVal,1,625,1600,Fig2Bb,,4.05409E+14,,,,,,,,,,,,17185334,p. 436; right,"One distinction between PLPs and pyramidal neurons is apparent in the scarcity of pyramidal neuron projections to the olfactory bulb. This pattern of projection is similar to the RGC, a class of principal neurons in the hippocampus (GulyasÃÂ et al.1998;ÃÂ ChristieÃÂ et al.ÃÂ 2000;ÃÂ Kirson & Yaari, 2000;ÃÂ Savic & Sciancalepore, 2001). RGCs also project to the olfactory bulb, and make asymmetrical synapses with other neurons (GulyasÃÂ et al.ÃÂ 1998). Most RGCs also have two prominent apical dendrites that project to the SR/SLM. The somata of these neurons normally have the shape of an inverted triangle, and have little basal branching (GulyasÃÂ et al.1998;ÃÂ Kirson & Yaari, 2000). A minority of RGCs have been described with a more typical pyramidal appearance, particularly the P-cell-like' class described byGulyasÃÂ et al.ÃÂ (1998)ÃÂ Although PLPs are probably a subclass of RGCs, we chose a distinct nomenclature to emphasize the significantly different morphology of the PLP compared to the typical non-pyramidal RGC morphology.",,,,,,,,,,,,,
117,CA1,CA1 Quadrilaminar (i)3333,4003,11807843,r,e,35,b,-58.5,(*),,[-61_-56],Range,2,Tab3;  p.362,,4.00302E+14,,,,,,,,,,,,,,,,,,,21.1,(*),,,SingVal,1,Fig12B,,4.00305E+14,11.9,(*),,,SingVal,1,Fig12B,,4.00306E+14,57.7,(*),,,SingVal,1,Fig12B,,4.00307E+14,,,,,,,,,,,,,,,,,,,,,6.9,(*),,,SingVal,1,X,X,Fig12B,,4.0031E+14,,,,,,,,,,,611346,,,,,,,,,,,,,,,,
118,CA1,CA1 LMR Projecting (i)3300p,4004,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,CA1,CA1 LMR (i)3300,4005,9503336,r,e,34.5,b,-58.3,,,ÃÂ±2.4,SDEV,2,Tab1,,4.00501E+14,74.7,,,ÃÂ±6.0,SDEV,2,Tab1,,4.00502E+14,6.5,,,ÃÂ±0.1,SDEV,2,Tab1,,4.00503E+14,18.4,,,,SingVal,1,Fig6Ba,,4.00504E+14,10.8,,,ÃÂ±1.4,SDEV,2,Tab1,,4.00505E+14,65.1,,,ÃÂ±0.4,SDEV,2,Tab1,,4.00506E+14,0.8,,,ÃÂ±0.1,SDEV,2,Tab1,,4.00507E+14,,,,,,,,,,,,3.9,,,,SingVal,1,500,100,Fig6Ba,,4.00509E+14,,,,,,,,,,,611512,,,,,,,,,,,,,,,,
120,CA1,CA1 LMR (i)3300,4005,16033887,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
