Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neurite,Neurite_ID,Name of file containing figure,Reference_ID
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SLM)-D.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SO)-A.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SO)-D.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SP)-A.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SP)-D.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SR:A,55,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SR)-A.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(SR)-D.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,Original,97,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(All)-A.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(All)-D.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SLM)-D.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SO)-A.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SO)-D.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SP)-A.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SP)-D.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020-CA1(SR)-D.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Original,97,Acsady-Freund-1996-299-Neurosci-Fig2_7-Cell4020.png,800316
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021-CA1(All)-A.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021-CA1(All)-D.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021-CA1(SLM)-D.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021-CA1(SP)-A.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,CA1:SR:A,55,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021-CA1(SR)-A.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Original,97,Acsady-Freund-1996-299-Neurosci-Fig3_6-Cell4021.png,800304
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(All)-A.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(All)-D.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SLM:A,52,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SLM)-A.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SLM)-D.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SO)-A.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SP)-A.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SP)-D.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SR:A,55,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SR)-A.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056-CA1(SR)-D.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,Original,97,Acsady-Freund-1996-299-Neurosci-Fig3_7-Cell4056.png,800308
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(All)-A.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(All)-D.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(SO)-A.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(SO)-D.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(SP)-A.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(SP)-D.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091-CA1(SR)-D.png,800318
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,Original,97,Acsady-Freund-1996-299-Neurosci-Fig5B_2-Cell4091.png,800318
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:All:A,49,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(All)-A.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:All:D,50,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(All)-D.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:SLM:A,52,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(SLM)-A.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:SLM:D,53,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(SLM)-D.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:SP:A,58,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(SP)-A.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:SR:A,55,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(SR)-A.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,CA1:SR:D,56,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021-CA1(SR)-D.png,800306
"Acsady L., Gorcs T.J., Freund T.F.",Different populations of vasoavtive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,Original,97,Acsady-Freund-1996-317-Neurosci-Fig2_1-Cell4021.png,800306
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:All:A,16,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(All)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:All:D,17,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(All)-D.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SL:A,25,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SL)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SL:D,26,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SL)-D.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SLM:A,19,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SLM)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SLM:D,20,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SLM)-D.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SO:A,31,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SO)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SP:A,28,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SP)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SP:D,29,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SP)-D.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SR:A,22,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SR)-A.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,CA3:SR:D,23,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005-CA3(SR)-D.png,800126
"Anderson WD, Galvn EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,2005,Original,97,Anderson-Barrionuevo-2011-895-EurJNeurosci-Fig1B-Cell2005.png,800126
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,DG:All:A,1,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1A-Cell1008-DG(All)-A.png,800080
"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,DG:All:D,2,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1A-Cell1008-DG(All)-D.png,800080
