"","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","","","","","","","","",""
"101","N","N201","CA3","pyramidal","2-000","CA3 Pyramidal","(+)","23223","p","PC a/b","CA3 pyramidal neuron","","","E","stratum pyramidale","{n}""200.161120; 200.161996; 201.162002; 200.160210; 201.160886; 201.160982; 201.161046; 201.161014; 201.161280; 201.161284; 201.161188; 201.161758; 201.161818; 200.161718; 201.160958""","{n}""201.160990; 200.161764; 201.161816; 201.162088; 200.162106; 200.162163""","{n}""201.160874; 201.160988; 201.161016; 200.161120; 201.161742; 201.161754; 201.161756; 200.161784; 200.161868; 200.161914; 201.161944; 201.160958; 200.162105""","{n}""210.161206; 210.161210; 210.161214""","{2}""201.161140; 201.161146; 201.161148; 310.161674; 110.161676; 110.161678; 110.161682; 201.161688; 201.161690; 201.161694; 101.162096; 101.162097; 200.162102; 110.162103; 200.162104; 200.162111""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""401.162025<""*expressed in dendrites*"">; 110.162068; 400.162069<""*expressed in dendrites*"">; 401.162086<""*expressed in dendrites*"">; 401.162087<""*expressed in dendrites*"">; 401.162089<""*expressed in dendrites*"">; 111.162095""","{cn}""201.161128; 200.161914; 200.162112; 201.162131; 201.162132; 901.161130<""*Glutamatergic and GABAergic SOM- types in CA3 SLM_SR_SL_SP_SO are probably mGluR1a- by contrapositive logic*"">""","{n}""201.161106; 201.161108; 201.161114; 201.161250; 200.161914; 201.161258""","{n}""201.161260; 201.161264""","{n}""210.190011""","","","{n}""200.161770; 200.161782; 200.161784; 200.161786""","{cn}""220.162066; 210.162068; 200.162069; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","{p}""111.162043; 111.162044;""","{p}""111.162044; 111.162048""","","{3<""*In rats the mRNA has been detected, but not the protein.  No information on the mouse is on Hippocampome.org currently.*"">}""201.161896; 201.161902; 201.161904; 111.161924; 111.161926; 201.161928; 201.161930""","{n}""211.162022""","","{2}""201.160874; 200.161782; 200.161860; 110.161682; 211.162013;  211.162014; 201.162085; 200.162107; 201.162124; 201.162134; 201.162135""","{n}""201.162017; 201.162051""","{p}""101.161180; 100.161828; 100.161830; 100.161832; 101.162032; 111.162049; 110.162081; 120.162138; 100.162139; 100.162140; 121.162141; 101.162142""","{n}""201.161738; 211.161746; 210.161762; 200.161914; 201.162060; 201.162082; 200.162108""","{cn}""200.160106; 200.161988; 200.161992; 201.160866[rule]; 200.161120; 200.161786; 201.161808; 201.161812; 200.161860; 200.161914; 200.162109; 201.162134; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in CA3 SLM_SR_SL_SP_SO are probably SOM- by contrapositive logic*"">; 901.162168<""*Glutamatergic and GABAergic AR-beta1- types in CA3 SP are probably SOM- by contrapositive logic; (n = 2/2)*"">""","{n}""201.160934; 200.161914; 201.162084; 200.162110; 201.162134; 201.162136""","{n}""201.161180; 200.161848; 200.161860; 200.161864; 201.162006""","{n}""210.190011""","","{3<""*The mRNA has been detected in mice, but not in rats.  No information on protein detection is on Hippocampome.org currently.*"">}""200.161988; 200.161992; 110.161750; 200.161780; 200.161714; 110.510008; 200.161914; 200.161716""","","{n}""210.190011""","{p}""101.161133""","{n}""210.161706; 200.161716; 211.161746; 200.161714; 200.162098""","{1<""*At least one study found a mix of COUPTFII-positive and -negative neurons in a sample of CA3 Pyramidal.  Septal CA3 pyramidal cells are mostly immunonegative; temporal CA3 pyramidal cells are immunopositive.*"">}""401.161766""","{n}""201.161944""","","","{n}""210.190011""","","","{n}""211.162013; 211.162015""","{n}""210.190011""","","{n}""201.162125; 201.162127""","{n}""211.162044; 211.162045; 211.162046""","{n}""200.161120""","{n}""211.161744""","{n}""210.162068; 200.162069""","{p}""101.161182; 101.161184""","","{p}""101.161258; 101.161246""","{p}""101.161252; 101.161258""","","{p}""100.161828; 100.161830; 100.161832""","","{p}""310.162010""","{p}""110.161842; 110.162010""","{n}""210.161842; 210.161870; 210.161872; 210.161874; 210.162010""","{1}""410.161872; 410.161874""","","{p}""100.161718; 100.161722; 100.161726""","","{p}""101.161730; 101.162061; 101.162062""","{p}""101.161732; 101.161734""","{p}""111.161744""","{p}""111.161744""","{p}""111.161744""","{n}""211.161748""","","{p}""110.190011""","","","{p}""110.190011""","{p}""100.162012""","{p}""111.162021; 111.162024; 110.162103""","{n}""211.162044; 211.162045""","{n}""211.162044; 211.162046""","","","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{p}""110.162068""","{p}""110.162068""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">; 111.162094; 111.162095""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""201.162131; 101.162131<""*expressed in dendrites*"">; 201.162133; 101.162133<""*expressed in dendrites*"">""","","","","{p}""110.190011""","","","{n}""201.162128""","","","","1","1","1","57","","",""
"","N","N202","CA3","(new)","2-004","CA3c Pyramidal","(+)","3223","p","PC c","CA3c pyramidal c neuron","","","E","stratum pyramidale (1)","{n}""200.161164; 201.160633; 201.160982; 201.161014; 201.161280; 201.161758; 201.160958""","{n}""201.160990; 200.161710; 200.161764; 201.162088; 400.162163""","{n}""200.161164; 201.160988; 201.161742; 201.161754; 201.161756; 200.161784; 200.161868; 201.161016; 201.160958""","{n}""210.161210; 210.161214; 211.161796""","{2}""201.161142; 201.161146; 310.161674; 110.161676; 110.161678; 110.161682; 201.161688; 201.161690; 201.161694; 211.161796; 101.162097; 200.162102""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""401.162025<""*expressed in dendrites*"">; 400.162069<""*expressed in dendrites*"">; 401.162086<""*expressed in dendrites*"">; 401.162089<""*expressed in dendrites*"">; 111.162095""","{cn}""201.161128; 201.162131; 201.162132; 901.161130<""*Glutamatergic and GABAergic SOM- types in CA3 SLM_SR_SL_SP_SO are probably mGluR1a- by contrapositive logic*"">""","{n}""201.161258""","{n}""201.161261""","","","","{n}""200.161770; 200.161782; 200.161784; 200.161786""","{cn}""220.162066; 210.162068; 200.162069; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","{p}""111.162043; 111.162044""","{p}""111.162044; 111.162048""","","{3<""*In rats the mRNA has been detected, but not the protein.  No information on the mouse is on Hippocampome.org currently.*"">}""201.161896; 201.161902; 201.161904; 111.161924; 111.161926; 201.161928; 201.161930""","{n}""211.162022; 211.162023""","","{2}""200.161782; 200.161860; 110.161682; 211.162013; 211.162014; 201.162085; 201.162134; 201.162135""","{n}""201.162017; 201.162051""","{p}""100.161828; 100.161830; 100.161832; 101.162032; 111.162049; 110.162081; 120.162138; 100.162139; 100.162140; 121.162141; 101.162142""","{n}""201.161704; 211.161746; 210.161762; 201.162060; 201.162082""","{cn}""200.161164; 200.161992; 201.161704; 200.161786; 201.161808; 201.161812; 200.161860; 201.162134; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in CA3 SLM_SR_SL_SP_SO are probably SOM- by contrapositive logic*"">""","{n}""201.162084; 201.162134; 201.162136""","{n}""201.162006; 200.161848; 200.161860; 200.161864""","","","{3<""*The mRNA has been detected in mice, but not in rats.  No information on protein detection is on Hippocampome.org currently.*"">}""200.161992; 110.161750; 200.161780; 200.161714; 110.510008; 200.161716""","","","{p}""101.161133""","{n}""210.161706; 200.161716; 211.161746; 200.161714; 210.162030; 200.162098""","""000.000000""","","","","","","","{n}""211.162013; 211.162015""","","","{n}""201.162125""","{n}""211.162044; 211.162046""","","{n}""201.160633; 211.161744""","{n}""210.162068; 200.162069""","","","{p}""101.161258; 101.162118""","{p}""101.162119""","{p}""101.162121""","{p}""100.161828; 100.161830; 100.161832""","","{p}""310.162010""","{p}""110.161842; 110.162010""","{n}""210.161842; 210.161870; 210.162010""","","","{p}""100.161726""","","{p}""101.161730; 101.162061; 101.162062""","{p}""101.161732; 101.161740""","{p}""111.161744""","{p}""111.161744""","{p}""111.161744""","{n}""211.161748""","","","","","","{p}""100.162012""","{p}""111.162021; 111.162024""","{n}""211.162044; 211.162045""","{n}""211.162044; 211.162046""","","","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{p}""110.162068""","{p}""110.162068""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">; 111.162094; 111.162095""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""201.162131; 101.162131<""*expressed in dendrites*"">; 201.162133; 101.162133<""*expressed in dendrites*"">""","","","","","","","{n}""201.162128""","","","","1","1","1","55","","",""
"","N","N203","CA3","granule ","2-001","CA3 Granule ","(+)","22100","","GC","CA3 granule neuron","","","E","stratum radiatum (4100, 4109, 4130), stratum lucidum (4100)","{p}""101.160984; 101.160623; 101.160626; 101.160632; 101.160633; 101.160638""","{cni}""000.000000; 901.162155<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably CR-*"">; 901.162155<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably CR- by contrapositive logic*"">""","{cni}""000.000000; 901.162035<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably PV-*"">; 901.161950<""*Glutamatergic and GABAergic GABAa \alpha1- types in CA3 SLM_SR_SL_SP_SO are probably PV- by contrapositive logic*"">; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in CA3 SLM_SR_SL_SP_SO are probably PV- by contrapositive logic*"">; 901.162035<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably PV- by contrapositive logic*"">""","""000.000000""","""000.000000""","{cni}""000.000000; 901.162029<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably GABAa \alpha1-*"">; 901.162169<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably GABAa \alpha1- by contrapositive logic*"">""","""000.000000""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 900.161888<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably NPY- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 75.7% (n = 25/27)*"">""","""000.000000""","{ni}""000.000000; 901.160960<""*Glutamatergic and GABAergic CB+ types in CA3 SLM_SR_SL_SP_SO are probably VIP- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 92% (n = 44/44)*"">""","","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","{p}""101.160623; 101.160626; 101.160632; 101.160633; 101.160638""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","6","","",""
"","X","X204","CA3","(new)","2-002","","(+)","22011","","SO RGC","CA3 radiatum giant cells","","","E","stratum radiatum (1)","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"","N","N205","CA3","(new)","2-003","CA3 Giant","(+)","22010","","RGC","CA3 radiatum giant cells","","","E","stratum radiatum (1)","""000.000000""","""000.000000""","{ni}""000.000000; 901.161152<""*Glutamatergic and GABAergic types in CA3 SLM_SR are negative for PV*"">; 901.160962<""*Glutamatergic and GABAergic types in CA3 SLM_SR are negative for PV*"">""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","",""
"105","N","N206","CA3","lacunosum-moleculare--radiatum","2-005","CA3 LMR-Targeting ","(-)","33200","","LM-R","CA3 lacunosum-moleculare--radiatum neuron","","","I","stratum lacunosum-moleculare, stratum radiatum","""000.000000""","""000.000000""","{cni}""000.000000; 201.161152[rule]; 901.161152<""*Glutamatergic and GABAergic types in CA3 SLM_SR are negative for PV*"">; 901.160962<""*Glutamatergic and GABAergic types in CA3 SLM_SR are negative for PV*"">; 901.162105<""*Glutamatergic and GABAergic types in CA3 SLM are negative for PV*"">""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for NG*"">; 922.161142<""*GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for NG*"">""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","","",""
"","X","X207","CA3","(new)","2-033","","(-)","30000","","SLM","","","","I","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"","X","X209","CA3","(new)","2-024","","(-)","23333","","TriC rad","CA3 trilaminar 23333 cell","","","I","stratum radiatum (6003) / stratum pyramidale (6003)","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"","X","X211","CA3","(new)","2-034","","(-)","23100","","ACA","","","","I","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"117","N","N212","CA3","basket","2-043","CA3 Basket","(-)","22232","","BC","CA3 basket neuron","","","I","stratum pyramidale","{cni}""000.000000; 901.160883<""*GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB-*"">; 901.162035<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB-*"">; 901.162169<""*Glutamatergic and GABAergic GABAa \alpha1+ types in CA3 SLM_SR_SL_SP_SO are probably CB-*"">; 901.160883<""*GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB- by contrapositive logic*"">; 901.162035<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB- by contrapositive logic*"">; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1+ types in CA3 SLM_SR_SL_SP_SO are probably CB- by contrapositive logic*"">""","{cni}""000.000000; 201.160896[rule]; 901.161278<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CR-*"">; 901.161278<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CR- by contrapositive logic*"">""","{p}""140.161876; 140.161878; 140.152000; 140.152002""","{ni}""000.000000; 211.161687[rule-wrong]; 911.161687<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably 5HT-3- by contrapositive logic*"">""","{cni}""000.000000; 210.161684[rule-wrong]; 901.161154<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB1-*"">; 901.161692<""*GABAergic PV+ types in CA3 SLM_SL_SR_SP_SO are probably CB1-; Clopper-Pearson confidence interval lower bound = 74.2% (n = 28/31)*"">; 901.161910<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB1-*"">; 901.161157<""*GABAergic CCK- types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 90.4% (n = 99/103)*"">; 910.161680<""*GABAergic CCK- types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 79.7% (n = 565/683)*"">; 901.161908<""*Glutamatergic and GABAergic CCK- types in CA1 & CA3 SLM_SR_SP_SO are probably CB1- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 90.2% (n = 510/550)*"">; 901.161906<""*Glutamatergic and GABAergic CCK- types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic*"">; 901.161154<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic*"">; 910.161684<""*GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 97.1% (n = 620/630)*"">; 901.161910<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CB1- by contrapositive logic*"">""","{cpi}""000.000000; 801.161950<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably GABAa \alpha1+*"">; 801.162029<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably GABAa \alpha1+*"">""","""000.000000""","""000.000000""","""000.000000""","","{ni} ""901.162168<""*Glutamatergic and GABAergic PV+ types in CA3 SP are probably AR-beta2-; Clopper-Pearson confidence interval lower bound = 85.6% (n = 55/58)*"">""","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for GABAa\alpha 6*"">""","","""000.000000""","""000.000000""","{ni}""000.000000; 901.161029<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably vGluT3- by contrapositive logic*"">""","","""000.000000""","{cni}""000.000000; 901.161004<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CCK-*"">; 901.162169<""*Glutamatergic and GABAergic GABAa \alpha1+ types in CA3 SLM_SR_SL_SP_SO are probably CCK-*"">; 901.161692<""*GABAergic CB1- types in CA3 SLM_SL_SR_SP_SO are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 82.8% (n = 29/30)*"">; 901.161908<""*Glutamatergic and GABAergic CB1- types in CA1 & CA3 SLM_SR_SP_SO are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 87.5% (n = 509/564)*"">; 910.162176<""*GABAergic CB1- types in CA3 SLM_SR_SL_SP_SO are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 79.8% (n = 566/683)*"">; 901.161004<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably CCK- by contrapositive logic*"">""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for NG*"">; 922.161142<""*GABAergic types in CA3 SLM_SR_SL_SP_SO are negative for NG*"">""","""000.000000""","""000.000000""","{cni}""000.000000; 901.162169<""*Glutamatergic and GABAergic GABAa \alpha1+ types in CA3 SLM_SR_SL_SP_SO are probably VIP-*"">; 901.160962<""*Glutamatergic and GABAergic PV+ types in CA3 SLM_SR_SL_SP_SO are probably VIP- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 90.3% (n = 36/36)*"">; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1+ types in CA3 SLM_SR_SL_SP_SO are probably VIP- by contrapositive logic*"">""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10","1","1","1"
